日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-09,977.028,987.179,932.245,962.2,1817253100,16932268000.0
2022-03-10,945.13,959.01,938.776,947.58,1289529650,12340846700.0
2022-03-11,936.574,947.582,915.612,943.256,1049299330,9870814200.0
2022-03-14,929.422,935.003,902.714,903.394,910874630,8904192300.0
2022-03-15,894.757,894.757,837.462,837.594,1292033540,11462509300.0
2022-03-16,849.967,866.862,814.598,863.427,1007861350,9413937100.0
2022-03-17,871.18,890.405,869.95,872.209,880060880,8643295100.0
2022-03-18,869.795,892.801,869.691,892.238,695664270,6940737200.0
2022-03-21,893.049,902.059,887.226,899.689,767606920,7899743600.0
2022-03-22,895.455,913.621,894.752,908.426,768585160,7917995600.0
2022-03-23,905.607,906.725,898.367,903.391,586411550,5894878400.0
2022-03-24,915.225,925.583,909.684,918.041,1008689830,9788762500.0
2022-03-25,914.315,927.186,909.949,910.591,792357420,7701500800.0
2022-03-28,899.511,911.39,881.528,901.885,700918520,6843085200.0
2022-03-29,902.427,905.394,888.226,894.473,547212090,5242746600.0
2022-03-30,894.109,897.754,888.384,896.807,586777190,5657463700.0
2022-03-31,897.459,897.459,872.974,874.844,638312880,6553694700.0
2022-04-01,870.61,882.862,866.524,879.694,505810940,5059625200.0
2022-04-06,878.562,884.34,868.781,883.96,607606620,5549670100.0
2022-04-07,878.562,881.576,865.631,867.651,505905950,4765394500.0
2022-04-08,867.049,889.368,859.182,882.915,872759350,8671110300.0
2022-04-11,881.284,883.789,851.26,855.263,905874930,8700668700.0
2022-04-12,852.39,877.284,849.012,877.088,724011300,6384639500.0
2022-04-13,876.289,909.131,872.664,899.124,1305377470,12325077600.0
2022-04-14,901.274,922.538,896.71,917.978,1124321170,10223200400.0
2022-04-15,908.943,914.0,886.145,890.489,1004918560,10150631200.0
2022-04-18,885.572,885.684,873.363,881.943,634395170,6002680600.0
2022-04-19,889.769,901.88,889.11,898.015,741883670,7453603500.0
2022-04-20,886.94,890.571,857.757,860.473,767213050,7729754200.0
2022-04-21,858.154,859.269,816.486,818.861,733746300,6796866000.0
2022-04-22,814.844,831.986,801.977,826.322,678070070,6030741900.0
2022-04-25,803.745,803.745,753.928,755.611,935209020,7901678100.0
2022-04-26,747.88,753.24,716.227,718.659,811247050,6727295400.0
2022-04-27,708.017,756.623,704.761,755.676,881185280,7706949600.0
2022-04-28,747.283,760.315,737.485,744.493,626777800,5783191700.0
2022-04-29,752.158,780.893,750.42,776.657,719148040,6576226800.0
2022-05-05,769.585,787.39,767.609,782.426,700121410,6323364000.0
2022-05-06,760.682,764.053,748.853,753.209,772619060,6632701300.0
2022-05-09,750.887,765.389,748.917,756.822,624941170,5533479100.0
2022-05-10,742.233,762.706,737.379,762.158,878093240,7638418800.0
2022-05-11,759.373,780.753,758.174,764.982,913190140,8192881800.0
2022-05-12,758.798,768.128,750.34,759.243,688439070,6220846100.0
2022-05-13,761.862,765.573,754.454,763.693,584672600,5221177700.0
2022-05-16,766.649,773.006,759.301,762.519,594863090,5188502300.0
2022-05-17,765.913,773.713,761.211,773.404,708096980,6664431400.0
2022-05-18,772.432,772.432,763.929,766.649,573662310,5283290200.0
2022-05-19,753.952,770.41,750.772,769.805,607323840,5196701400.0
2022-05-20,781.863,798.062,781.289,797.403,972695170,8875418900.0
2022-05-23,800.25,823.263,797.307,821.281,854801170,8422021200.0
2022-05-24,819.765,820.18,784.942,784.942,876891480,8873600800.0
2022-05-25,789.95,803.019,787.555,799.45,614830050,5971437000.0
2022-05-26,797.584,803.644,783.438,798.345,607597430,5664010100.0
2022-05-27,802.381,806.394,789.764,798.098,597117710,5570495500.0
2022-05-30,801.548,807.214,797.632,805.649,673688580,6377538200.0
2022-05-31,802.322,809.062,794.111,809.062,576687820,5280238700.0
2022-06-01,803.915,804.254,791.916,800.289,656070920,5819782000.0
2022-06-02,797.747,816.023,796.434,815.55,638390540,5531491800.0
2022-06-06,815.194,836.986,815.194,834.03,1192216760,11130042400.0
2022-06-07,832.317,836.977,825.957,835.691,1030232940,8459943600.0
2022-06-08,839.327,852.005,827.951,848.061,1193709360,10608370000.0
2022-06-09,843.985,844.204,825.508,838.869,890476080,8178534300.0
2022-06-10,831.856,856.605,829.594,854.932,996625540,8829739900.0
2022-06-13,854.252,870.649,853.865,868.576,1075179110,9884912200.0
2022-06-14,854.422,868.194,838.76,868.194,1009416700,9594578900.0
2022-06-15,864.847,875.068,859.405,862.702,951855000,9106451000.0
2022-06-16,868.478,874.14,856.099,859.208,748753250,7024505200.0
2022-06-17,852.969,877.551,852.753,874.789,935586190,8789519600.0
2022-06-20,872.279,877.706,862.722,866.117,1149365460,10846950100.0
2022-06-21,864.781,864.781,834.721,841.779,906028750,8505974800.0
2022-06-22,841.366,845.851,831.875,832.364,771784900,6936289200.0
2022-06-23,831.901,841.849,822.362,841.386,735781590,6695987000.0
2022-06-24,837.776,844.997,833.864,841.2,870461880,8291002800.0
2022-06-27,842.39,861.905,839.164,854.206,1096501590,10123571900.0
2022-06-28,855.696,867.141,853.343,867.141,948250420,8411520200.0
2022-06-29,865.993,865.993,837.241,837.583,945764080,8381455900.0
2022-06-30,838.612,847.891,838.612,840.681,720785890,6272635100.0
2022-07-01,837.644,850.694,830.744,846.656,769695520,7861193600.0
2022-07-04,845.577,863.128,842.58,862.986,812695770,8419774300.0
2022-07-05,864.71,873.523,855.71,865.894,1010650040,9783765900.0
2022-07-06,857.439,857.478,830.747,838.731,1272699320,11755433500.0
2022-07-07,837.155,867.119,837.155,857.806,1072126890,9278227200.0
2022-07-08,864.191,864.718,845.269,846.236,717426850,6418239900.0
2022-07-11,844.26,844.26,823.652,830.437,724981370,6684241600.0
2022-07-12,829.598,839.0,825.284,826.725,689086540,6468761000.0
2022-07-13,823.048,828.419,817.684,827.643,688771840,6051986500.0
2022-07-14,827.901,828.909,818.718,826.103,783300470,7037114800.0
2022-07-15,817.128,820.949,802.744,802.744,839061120,7486812400.0
2022-07-18,807.927,830.057,807.927,829.394,928958710,7864412700.0
2022-07-19,830.195,835.297,824.805,832.7,613624140,5338518800.0
2022-07-20,834.383,846.943,834.383,846.5,571465690,5434530400.0
2022-07-21,845.447,852.773,840.605,844.012,702685370,6472411400.0
2022-07-22,846.204,854.271,835.44,842.606,649100910,5356901100.0
2022-07-25,845.264,855.806,841.606,843.907,665886160,5424337100.0
2022-07-26,844.807,857.25,841.911,856.835,640380790,6356102600.0
2022-07-27,854.65,858.702,848.938,857.153,519914930,4763135100.0
2022-07-28,861.877,866.804,857.0,858.947,726911330,6362367900.0
2022-07-29,865.373,871.11,859.486,862.092,657069080,5470810000.0
2022-08-01,862.976,865.585,850.195,863.415,653491360,5538685900.0
2022-08-02,858.53,858.53,823.636,832.571,821951260,6734515500.0
2022-08-03,828.916,842.757,820.375,821.312,619223300,5100308800.0
2022-08-04,825.358,832.305,812.879,826.865,491513390,4094803200.0
2022-08-05,834.882,858.725,834.322,857.871,912963990,7849185900.0
2022-08-08,851.997,860.577,848.46,859.826,626766120,5856844400.0
2022-08-09,860.045,863.694,855.813,861.711,563919960,5100109400.0
2022-08-10,863.777,881.558,863.777,874.844,827404200,7430326200.0
2022-08-11,878.225,880.654,872.536,878.313,759830110,6808202400.0
2022-08-12,878.468,891.514,874.854,882.486,820298920,7506447000.0
2022-08-15,882.138,891.722,882.138,885.588,768004800,6724830000.0
2022-08-16,888.096,889.743,878.208,883.074,720941780,7695281900.0
2022-08-17,886.93,887.988,873.093,881.774,606143680,5577920300.0
2022-08-18,878.608,878.608,868.283,870.142,533478310,4695723000.0
2022-08-19,873.048,873.048,860.162,861.148,499144780,4813281800.0
2022-08-22,860.614,876.417,852.769,876.417,677255950,6727918600.0
2022-08-23,873.384,876.899,867.304,872.631,521584630,5047358800.0
2022-08-24,874.811,878.724,846.98,848.203,688234410,6007447200.0
2022-08-25,852.376,865.283,849.215,865.283,828154100,7087838000.0
2022-08-26,863.872,870.953,860.158,862.104,723339730,6783667600.0
2022-08-29,848.458,863.058,846.293,862.644,641630650,5277366900.0
2022-08-30,863.94,866.555,852.212,858.548,559125010,4504870700.0
2022-08-31,854.781,857.886,833.82,835.25,687148940,5617487800.0
2022-09-01,831.181,836.187,823.667,825.696,579433580,4345151600.0
2022-09-02,825.284,831.079,822.637,829.19,617289570,4401334900.0
2022-09-05,829.474,844.652,829.053,844.652,534307030,3846873700.0
2022-09-06,854.839,870.511,852.076,870.411,833235630,6360829300.0
2022-09-07,864.279,881.756,860.33,881.004,906956560,6673368400.0
2022-09-08,885.322,893.18,879.925,892.097,943484150,7318841000.0
2022-09-09,897.851,910.044,896.647,899.708,1155074940,9265346800.0
2022-09-13,900.978,911.813,900.978,904.234,1027126330,8560500200.0
2022-09-14,883.874,894.282,881.238,886.966,955196740,6728979400.0
