日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-09,972.362,979.379,931.516,957.342,1880207500,16515099000.0
2022-03-10,936.462,950.987,928.935,941.114,1329025100,12170760600.0
2022-03-11,929.52,940.139,909.612,936.744,1069318810,9562677800.0
2022-03-14,923.898,931.029,898.909,899.546,927194310,8588121800.0
2022-03-15,889.772,889.772,836.611,836.807,1287214360,10872300600.0
2022-03-16,846.677,860.654,812.837,856.702,1012087840,9132869000.0
2022-03-17,864.16,886.083,864.16,868.395,883833590,8365174800.0
2022-03-18,866.463,887.415,865.879,887.392,699571440,6706110000.0
2022-03-21,887.071,896.008,882.133,893.528,762692240,7701637000.0
2022-03-22,889.642,910.474,889.335,905.691,786572550,7952508300.0
2022-03-23,902.502,903.86,895.813,901.682,588789270,5810920800.0
2022-03-24,913.74,924.763,907.108,915.487,1034204050,9551262200.0
2022-03-25,911.63,925.372,909.921,910.298,805468850,7651088600.0
2022-03-28,899.121,910.424,880.547,899.276,706583110,6824395700.0
2022-03-29,899.897,902.137,889.61,896.458,566353060,5327983200.0
2022-03-30,897.499,899.785,890.228,898.928,604928650,5679364300.0
2022-03-31,899.588,899.588,879.673,882.601,634653910,6489009200.0
2022-04-01,878.852,886.857,873.846,886.404,512399740,4946477000.0
2022-04-06,884.597,898.417,881.704,896.925,643941570,5765466800.0
2022-04-07,892.052,895.381,879.881,881.906,514789860,4762307800.0
2022-04-08,881.611,905.985,875.099,900.196,894528680,8664703200.0
2022-04-11,897.953,902.981,870.803,874.799,927636750,8742475400.0
2022-04-12,871.623,902.842,869.634,902.842,768766060,6778274000.0
2022-04-13,901.763,936.253,898.766,926.514,1387105900,12597906500.0
2022-04-14,927.609,951.989,922.269,947.043,1425373100,11412709300.0
2022-04-15,938.343,946.961,910.67,913.967,1329455970,11195813900.0
2022-04-18,908.667,912.141,899.42,910.818,800838860,6407554800.0
2022-04-19,917.282,932.448,917.282,929.162,937000140,8088116600.0
2022-04-20,914.21,918.855,886.686,889.797,910358430,8123719200.0
2022-04-21,886.459,886.521,842.709,845.151,889233590,7217618800.0
2022-04-22,844.262,852.818,825.846,846.817,823472270,6722635500.0
2022-04-25,820.893,820.893,771.742,772.728,1047970710,8051823000.0
2022-04-26,758.056,763.26,724.149,726.517,941906530,7116583700.0
2022-04-27,709.421,757.497,701.844,756.875,1008974620,7874866300.0
2022-04-28,745.239,757.785,734.676,742.129,705485160,5866422300.0
2022-04-29,748.377,774.081,747.947,770.159,797973380,6788451500.0
2022-05-05,764.699,780.079,760.29,774.935,740365340,6330529200.0
2022-05-06,754.129,760.091,745.216,751.278,806322280,6595409800.0
2022-05-09,751.272,764.12,749.498,755.92,641213370,5351808700.0
2022-05-10,743.04,759.917,737.032,759.81,906846960,7447009700.0
2022-05-11,755.912,775.945,755.634,760.16,965553720,8148725600.0
2022-05-12,754.927,764.658,747.18,757.238,713176370,5907252600.0
