日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-09,964.252,975.152,920.537,949.835,3109428100,23768753000.0
2022-03-10,950.598,965.465,941.074,951.403,2078496400,21142844000.0
2022-03-11,931.646,942.396,911.223,938.661,1742118700,16114492000.0
2022-03-14,924.614,932.488,899.938,899.938,1388353700,13649895000.0
2022-03-15,895.875,895.875,848.501,848.564,1908646800,16911994000.0
2022-03-16,864.149,882.87,827.275,881.765,1687432400,16000176000.0
2022-03-17,889.165,910.461,888.455,890.834,1530757700,14971109000.0
2022-03-18,885.471,898.007,882.86,895.937,1170011730,11315089900.0
2022-03-21,897.346,914.156,891.68,905.276,1258202820,13033688800.0
2022-03-22,905.857,915.471,899.235,912.954,1161355070,10818577300.0
2022-03-23,913.261,914.164,904.126,907.946,888449310,7713000000.0
2022-03-24,918.62,923.202,906.632,914.047,1330600900,11185574200.0
2022-03-25,912.675,928.403,905.251,905.427,1175266870,10799565900.0
2022-03-28,889.708,896.594,873.114,885.475,994195840,9774380000.0
2022-03-29,886.687,889.61,873.319,880.097,807427450,8203409800.0
2022-03-30,882.011,898.511,878.009,898.511,911832380,9278324300.0
2022-03-31,896.742,896.742,874.688,876.703,1009607450,9986376800.0
2022-04-01,869.274,885.017,868.046,880.458,734380180,7288001200.0
2022-04-06,878.566,881.425,867.426,880.531,944326990,8320448100.0
2022-04-07,876.573,879.773,864.267,864.267,902458620,7940326800.0
2022-04-08,865.545,873.024,848.985,867.291,1353139000,11141522000.0
2022-04-11,862.523,862.523,820.703,824.731,1253310730,12144005000.0
2022-04-12,822.154,841.04,816.261,841.04,959431260,9014624800.0
2022-04-13,836.943,857.018,829.807,843.81,1522456100,11596628100.0
2022-04-14,846.505,854.0,842.145,849.687,1186969620,9339341200.0
2022-04-15,844.434,845.847,827.695,830.223,1214026460,10050648700.0
2022-04-18,825.847,831.226,814.235,828.821,809603720,7011770500.0
2022-04-19,835.415,844.56,831.084,836.69,758530020,6876804400.0
2022-04-20,835.377,835.377,808.461,811.53,977907090,8018247900.0
2022-04-21,810.753,812.036,771.215,774.263,1112049060,8950763700.0
2022-04-22,769.345,780.159,761.821,772.435,794438550,6532543600.0
2022-04-25,756.734,756.734,711.066,711.068,1185203290,9191430900.0
2022-04-26,710.982,716.162,684.215,687.931,1148246780,8517923700.0
2022-04-27,680.359,736.775,678.893,736.415,1182644040,10089034900.0
2022-04-28,730.5,746.226,722.416,730.114,984277160,9486751800.0
2022-04-29,736.829,759.449,733.613,758.381,974631260,8923515100.0
2022-05-05,754.258,769.071,751.028,763.991,863220630,7222651900.0
2022-05-06,744.949,755.412,740.609,744.52,904672410,7174497200.0
2022-05-09,741.209,758.046,741.209,749.906,717295850,5440684000.0
2022-05-10,737.472,764.606,734.99,763.897,1037129310,7900276900.0
2022-05-11,764.41,796.512,763.724,777.062,1251650400,11860938700.0
2022-05-12,772.541,780.657,765.334,774.974,896024000,7993733000.0
2022-05-13,779.383,780.649,766.468,774.742,797158060,6438480900.0
2022-05-16,779.769,787.403,771.414,773.991,732984940,6345316300.0
2022-05-17,775.745,791.675,771.918,789.668,943660530,9116351300.0
2022-05-18,789.655,797.16,786.422,790.845,816978550,7866279800.0
2022-05-19,777.15,795.296,774.97,794.855,931711630,8246236100.0
2022-05-20,804.152,818.044,800.456,818.044,1459444000,11891774800.0
2022-05-23,819.276,828.714,815.263,828.044,1132754120,9522173600.0
2022-05-24,826.138,827.337,788.774,788.774,1126248310,10210599900.0
2022-05-25,790.967,801.375,787.651,799.508,835116690,6865729500.0
2022-05-26,800.03,809.769,787.808,806.725,850931610,7061650100.0
2022-05-27,810.756,816.07,795.215,802.502,868805570,7380553200.0
2022-05-30,805.8,809.523,798.959,806.798,679381380,6271987900.0
2022-05-31,805.582,811.675,793.218,810.818,780227460,7547072500.0
2022-06-01,808.435,818.372,806.823,815.958,908502070,9389190800.0
2022-06-02,814.134,835.596,811.612,833.413,1127333260,11186759400.0
2022-06-06,838.037,866.07,838.037,861.525,1599932300,14955330000.0
2022-06-07,861.005,862.711,846.575,854.395,1126885020,10040092400.0
2022-06-08,857.137,871.173,841.044,861.577,1262472140,11528894000.0
2022-06-09,858.251,859.668,842.393,850.079,1448387300,11976051400.0
