日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-07-04,1059.769,1060.838,1049.63,1051.551,861143180,4717712300.0
2022-07-05,1074.44,1141.515,1074.315,1136.184,1901650400,12879533000.0
2022-07-06,1150.516,1176.355,1123.199,1129.091,3183325600,20397664000.0
2022-07-07,1100.306,1165.563,1100.306,1152.784,2702801300,18683144000.0
2022-07-08,1152.974,1152.974,1109.239,1109.947,2955973800,16880291000.0
2022-07-11,1105.216,1162.104,1103.745,1149.244,2778056600,15915113000.0
2022-07-12,1152.123,1199.046,1142.169,1172.064,2837860700,18585063000.0
2022-07-13,1161.851,1172.663,1140.354,1164.781,3116664200,18559862000.0
2022-07-14,1162.628,1188.181,1156.566,1178.639,2683892900,16071276000.0
2022-07-15,1166.835,1169.553,1146.438,1146.947,2406362600,15362838000.0
2022-07-18,1145.563,1198.46,1145.486,1198.282,2891858100,16500420000.0
2022-07-19,1194.32,1198.511,1177.783,1198.511,2385281100,15176447000.0
2022-07-20,1194.411,1247.345,1194.411,1245.808,3016969900,20574302000.0
2022-07-21,1242.845,1285.324,1234.9,1254.472,3519244900,25144579000.0
2022-07-22,1246.706,1256.434,1234.221,1242.25,2380600400,16678896000.0
2022-07-25,1241.63,1241.63,1185.927,1192.435,2597716300,16154779000.0
2022-07-26,1191.188,1201.339,1177.577,1200.878,2129271200,11953832900.0
2022-07-27,1196.111,1224.123,1195.235,1215.316,1991170200,12130759200.0
2022-07-28,1224.704,1234.088,1214.265,1219.361,1959560200,12044428200.0
2022-07-29,1220.173,1237.412,1220.147,1226.307,2254036300,14310439000.0
2022-08-01,1218.852,1224.971,1203.065,1224.971,1560014700,10197474300.0
2022-08-02,1207.807,1207.807,1152.792,1165.768,2230336300,14080807000.0
2022-08-03,1166.448,1192.224,1135.237,1140.034,1743802700,11471813400.0
2022-08-04,1148.012,1157.819,1134.417,1154.687,1283524100,7823987900.0
2022-08-05,1157.407,1159.94,1139.006,1158.551,1191065230,7810111100.0
2022-08-08,1154.576,1172.643,1145.628,1172.238,1223275990,7864927300.0
2022-08-09,1172.552,1183.366,1168.62,1180.437,1321896660,8121477900.0
2022-08-10,1176.412,1188.909,1176.034,1186.052,1507497900,9154340700.0
2022-08-11,1188.498,1191.428,1179.779,1190.785,1285774630,7969925900.0
2022-08-12,1187.225,1196.5,1182.802,1184.203,1298093370,7638186700.0
2022-08-15,1180.434,1209.062,1179.221,1205.458,1714351400,9470920200.0
2022-08-16,1206.171,1240.623,1204.908,1236.635,2140303600,13345487900.0
2022-08-17,1239.393,1241.735,1225.663,1231.064,1947050700,12436571100.0
2022-08-18,1229.955,1236.807,1224.392,1231.226,1696933400,10690490800.0
2022-08-19,1229.126,1229.126,1206.471,1206.835,1531849400,9318249500.0
