日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-07-15,988.21,1012.234,976.332,1012.234,787567780,18281061000.0
2021-07-16,1015.1,1060.597,1015.1,1041.757,946659630,22544206000.0
2021-07-19,1049.644,1074.448,1034.056,1035.97,925215170,21921679000.0
2021-07-20,1012.281,1061.941,1011.332,1061.667,726477930,15884087000.0
2021-07-21,1062.113,1085.871,1061.656,1082.222,990760200,23806460000.0
2021-07-22,1085.005,1091.403,1064.06,1089.582,908159550,21217251000.0
2021-07-23,1093.876,1126.812,1093.876,1103.201,1394228900,26319862000.0
2021-07-26,1113.643,1141.573,1087.711,1124.877,1243596040,26294851000.0
2021-07-27,1126.017,1129.384,1051.467,1052.449,1371749800,29742137000.0
2021-07-28,1037.038,1098.437,1014.502,1089.946,1147152720,27783545000.0
2021-07-29,1124.21,1150.822,1103.292,1145.906,1277753230,29908400000.0
2021-07-30,1161.141,1173.645,1116.318,1125.51,1280001130,31723828000.0
2021-08-02,1118.725,1154.571,1118.725,1138.215,1130439000,28003899000.0
2021-08-03,1131.852,1131.852,1067.886,1070.619,1019093970,21686484000.0
2021-08-04,1071.428,1130.597,1071.428,1127.538,915439680,24894992000.0
2021-08-05,1127.231,1140.191,1098.577,1134.946,828302350,21146027000.0
2021-08-06,1148.103,1166.389,1135.925,1143.962,1026442240,24281457000.0
2021-08-09,1136.614,1136.614,1102.213,1130.136,869060400,23410649000.0
2021-08-10,1132.754,1156.7,1112.011,1136.804,996266100,25892133000.0
2021-08-11,1137.426,1206.624,1123.753,1200.7,1052000810,23764556000.0
2021-08-12,1197.494,1225.797,1188.226,1214.741,1021091900,26444323000.0
2021-08-13,1203.337,1253.182,1203.337,1223.086,1157285140,33831514000.0
2021-08-16,1218.787,1225.675,1181.709,1185.364,949772940,26809800000.0
2021-08-17,1175.414,1192.634,1147.491,1151.368,803540270,20968653000.0
2021-08-18,1158.895,1170.931,1131.869,1141.836,623503640,18530412000.0
2021-08-19,1132.082,1165.653,1113.762,1153.086,625930060,17954777000.0
2021-08-20,1144.847,1146.464,1118.412,1137.201,617343240,15834543000.0
2021-08-23,1140.821,1165.765,1131.077,1165.765,684761600,19331054000.0
2021-08-24,1172.692,1195.543,1155.314,1195.154,960097610,22234123000.0
2021-08-25,1187.1,1210.829,1179.975,1208.966,777011830,17152262000.0
2021-08-26,1272.041,1305.328,1248.911,1249.46,855679770,24555066000.0
2021-08-27,1243.225,1264.7,1233.251,1255.181,1397859200,27838669000.0
2021-08-30,1239.795,1274.075,1239.4,1255.555,1435931300,32030756000.0
2021-08-31,1249.364,1275.678,1230.04,1267.759,1013566200,24366971000.0
2021-09-01,1262.52,1267.872,1194.292,1206.529,1022440250,23894162000.0
2021-09-02,1188.626,1225.615,1188.626,1212.204,766487090,18535128000.0
2021-09-03,1205.511,1225.874,1171.055,1178.347,724254800,17857812000.0
2021-09-06,1183.512,1200.364,1160.538,1199.568,636271340,18241396000.0
2021-09-07,1197.588,1238.29,1189.105,1233.77,737700420,17861511000.0
2021-09-08,1237.662,1247.612,1224.157,1229.775,712458790,17472343000.0
2021-09-09,1229.861,1249.262,1227.349,1238.181,675861170,17688985000.0
2021-09-10,1233.33,1233.723,1212.268,1225.575,814417310,19136807000.0
2021-09-13,1232.615,1232.615,1207.607,1213.917,612330600,14714500000.0
2021-09-14,1209.699,1271.993,1199.577,1259.306,792029590,26007988000.0
2021-09-15,1256.963,1278.303,1250.246,1276.78,726138290,17757491000.0
2021-09-16,1276.925,1276.925,1201.357,1201.357,837859620,19524187000.0
2021-09-17,1195.947,1213.371,1168.564,1197.528,636477330,14971356000.0
2021-09-22,1176.896,1204.342,1176.896,1197.965,400670500,10238979100.0
2021-09-23,1209.333,1212.002,1189.125,1190.831,517188660,12510756400.0
2021-09-24,1185.737,1195.663,1165.318,1175.321,431438460,12305133700.0
2021-09-27,1185.064,1188.458,1123.528,1139.542,605500990,17058214000.0
2021-09-28,1138.862,1143.703,1122.42,1122.807,336680370,10260513200.0
