日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-03-20,1028.181,1069.2,1025.247,1038.244,419735220,11728217200.0
2024-03-21,1031.863,1069.328,1024.159,1057.126,781993140,13156895500.0
2024-03-22,1054.302,1155.203,1054.302,1137.537,865059250,18218842000.0
2024-03-25,1144.271,1147.542,1076.856,1077.959,1362216900,21276027000.0
2024-03-26,1059.232,1121.32,1059.232,1082.774,1215293560,18647290000.0
2024-03-27,1051.19,1054.894,985.218,985.882,961510360,14119924000.0
2024-03-28,988.238,1057.241,988.238,1043.873,1169400360,16245209000.0
2024-03-29,1040.714,1062.277,1033.331,1062.134,1128250270,15898599000.0
2024-04-01,1069.087,1069.087,1050.673,1061.423,1033549250,15395889000.0
2024-04-02,1061.365,1061.895,1025.828,1037.785,976484490,14670002000.0
2024-04-03,1023.06,1024.859,980.509,988.704,763815770,11359322000.0
2024-04-08,983.381,983.66,961.226,962.047,604916190,9328921100.0
2024-04-09,964.905,973.482,952.916,964.049,483419750,7368624300.0
2024-04-10,960.852,961.995,922.562,933.935,519025950,7349331700.0
2024-04-11,925.664,950.69,925.223,936.884,492789030,6968092800.0
2024-04-12,939.735,979.446,939.735,959.243,694420990,10713081100.0
2024-04-15,947.183,957.377,901.566,914.911,668322120,9403019900.0
2024-04-16,903.68,904.373,841.016,841.24,685840850,9336638600.0
2024-04-17,851.591,918.44,851.591,918.44,673013700,10239773500.0
2024-04-18,911.757,941.079,897.049,919.959,671746240,10809330300.0
2024-04-19,913.051,918.561,892.702,900.359,542668920,8384413700.0
2024-04-22,878.343,892.14,853.456,884.711,486288880,7386214200.0
2024-04-23,890.021,903.629,890.021,900.19,417908160,6858441700.0
2024-04-24,904.702,970.842,904.702,970.81,845810110,12395475200.0
2024-04-25,966.289,979.665,964.872,974.626,922122690,13885476000.0
2024-04-26,981.212,1023.816,979.744,1013.502,1004000120,15761377000.0
2024-04-29,1020.167,1047.117,1020.167,1043.66,975084180,16921573000.0
2024-04-30,1039.516,1040.646,1014.116,1019.959,745919940,12410805300.0
2024-05-06,1036.073,1055.612,1029.905,1043.253,792963210,14399457000.0
2024-05-07,1045.941,1058.573,1032.146,1044.789,662264960,11444519400.0
2024-05-08,1032.297,1032.297,1009.526,1011.68,599242720,9968259100.0
2024-05-09,1011.24,1020.808,1007.506,1009.747,468346620,7705327200.0
2024-05-10,1013.891,1013.891,979.509,982.218,573584740,8714772700.0
2024-05-13,976.43,999.604,963.73,980.029,597221280,10210786500.0
2024-05-14,984.779,1017.752,977.643,1000.144,676510810,12151156300.0
2024-05-15,994.653,1006.603,987.609,990.912,505771210,8222526600.0
2024-05-16,1012.059,1051.554,1012.059,1038.63,872164370,15189553000.0
2024-05-17,1024.11,1087.972,1024.11,1082.932,1040359380,16365874000.0
2024-05-20,1074.411,1075.924,1059.316,1073.637,799095240,13155506000.0
2024-05-21,1070.434,1078.216,1055.19,1062.809,639337920,11059545200.0
2024-05-22,1055.447,1094.774,1052.509,1094.774,695312740,13213323100.0
2024-05-23,1090.799,1090.799,1069.16,1075.307,764424860,13376315600.0
2024-05-24,1073.543,1128.733,1064.31,1100.597,949729190,17596612000.0
2024-05-27,1096.077,1099.617,1062.132,1081.566,711360930,14646595000.0
2024-05-28,1063.256,1068.894,1044.776,1044.776,544501020,10906212600.0
2024-05-29,1046.873,1056.7,1025.495,1032.095,507482790,9811021900.0
2024-05-30,1019.677,1026.805,1007.237,1010.249,476377770,9227005400.0
2024-05-31,1010.387,1054.497,1010.387,1030.434,515525180,9673167200.0
2024-06-03,1030.787,1081.139,1030.787,1067.762,707256320,13621381000.0
2024-06-04,1052.679,1055.03,1025.103,1039.101,648714380,10907161300.0
2024-06-05,1033.331,1038.163,1013.859,1014.057,561411570,9932218300.0
2024-06-06,1021.143,1031.355,983.817,988.139,575495880,10423449400.0
2024-06-07,993.884,998.094,964.222,978.726,482119100,9154217100.0
2024-06-11,971.693,993.472,956.28,992.217,381585250,7169070100.0
2024-06-12,991.589,1027.986,991.263,1022.427,617913360,12355046500.0
2024-06-13,1025.609,1036.611,1015.296,1017.317,592065560,10972468600.0
2024-06-14,1014.323,1038.745,1006.418,1033.985,585634410,12129219000.0
2024-06-17,1030.159,1038.105,1022.437,1031.557,546477220,12754000600.0
2024-06-18,1031.664,1068.669,1029.604,1060.05,653759800,14739323000.0
2024-06-19,1063.692,1065.233,1039.694,1039.694,531922390,11140137700.0
2024-06-20,1035.773,1038.073,1004.015,1004.343,514267070,9591796900.0
