日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,664.978,673.302,663.646,673.302,5047751800,48972229000.0
2020-01-03,674.312,677.247,671.452,675.638,4781031200,49041031000.0
2020-01-06,673.126,696.037,672.121,690.666,6291198900,67411887000.0
2020-01-07,691.985,699.205,690.713,699.205,5853583700,55561715000.0
2020-01-08,698.507,708.532,694.797,697.961,6853496700,63349467000.0
2020-01-09,704.297,707.628,702.51,706.214,5985344000,55320301000.0
2020-01-10,705.75,706.592,695.806,699.53,4896236900,48288769000.0
2020-01-13,701.503,712.695,699.086,712.695,4732062100,53437755000.0
2020-01-14,717.191,727.837,716.228,719.712,6510487000,72717808000.0
2020-01-15,716.662,716.662,703.868,709.266,5278692400,55940903000.0
2020-01-16,708.729,711.92,703.75,705.471,4216468900,46901712000.0
2020-01-17,705.53,706.902,699.992,701.706,4129056400,48979423000.0
2020-01-20,700.748,709.258,697.819,709.251,4112762400,50003236000.0
2020-01-21,705.896,705.896,696.139,696.151,3990151100,44484981000.0
2020-01-22,691.502,707.388,682.098,703.76,4347801700,56016491000.0
2020-01-23,694.89,701.744,671.195,677.931,4969890400,60422441000.0
2020-02-03,613.614,617.649,612.859,614.723,2400256800,35758777000.0
2020-02-04,579.214,616.699,579.214,613.36,6462010300,68208233000.0
2020-02-05,620.067,645.876,620.067,634.854,6290273700,78255984000.0
2020-02-06,629.782,650.998,627.072,649.272,6157140100,74853378000.0
2020-02-07,649.217,653.473,640.592,653.025,5640403900,68657290000.0
2020-02-10,652.492,672.668,650.756,672.643,5701032300,70720442000.0
2020-02-11,674.354,675.746,665.743,670.112,5233005800,65390698000.0
2020-02-12,666.874,694.801,666.351,694.801,6786926900,76122714000.0
2020-02-13,695.335,702.175,689.536,691.594,7589649600,86691577000.0
2020-02-14,690.461,698.553,683.85,690.618,7024028700,79271271000.0
2020-02-17,693.013,714.834,693.013,714.834,6866992500,75147577000.0
2020-02-18,716.707,730.823,715.149,730.823,7583451600,83371802000.0
2020-02-19,741.86,745.566,731.672,731.703,9656619900,104133393000.0
2020-02-20,735.904,748.759,733.054,748.238,8630321500,100214134000.0
2020-02-21,746.219,761.531,745.149,757.464,8672103700,97013937000.0
2020-02-24,754.373,768.454,748.024,765.777,9148032400,107793490000.0
2020-02-25,745.939,777.48,732.312,775.525,11038426000,124736528000.0
2020-02-26,765.946,777.811,753.986,756.537,10558616200,109780596000.0
2020-02-27,762.119,766.271,746.367,754.928,8167083100,82309986000.0
2020-02-28,722.451,733.683,704.549,704.662,8653921800,88412853000.0
2020-03-02,709.903,734.194,709.428,729.871,7099498100,71092941000.0
2020-03-03,743.215,755.883,731.675,739.287,7764172800,79073878000.0
2020-03-04,732.319,742.227,725.788,740.429,6082253400,61500639000.0
2020-03-05,750.231,753.24,743.327,752.976,6859722700,64302731000.0
2020-03-06,743.366,758.997,740.665,752.783,6796194000,62609177000.0
2020-03-09,740.868,746.446,721.496,721.559,6942180400,71054920000.0
2020-03-10,708.252,738.411,699.314,738.411,6746898500,67963302000.0
