日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,844.138,857.94,842.402,857.421,1240003950,12455059900.0
2020-01-03,856.958,862.135,854.59,860.903,1111943440,11974086000.0
2020-01-06,859.705,876.567,855.889,870.759,1139366320,13728379000.0
2020-01-07,874.27,886.763,874.27,886.763,1227433800,13728109000.0
2020-01-08,883.869,886.512,869.646,871.287,1354307700,14859794000.0
2020-01-09,878.748,885.18,878.28,885.18,1188267780,12874812000.0
2020-01-10,886.275,886.992,874.46,878.388,882732520,9542519400.0
2020-01-13,878.084,883.955,870.723,883.955,861592020,9950740900.0
2020-01-14,885.721,889.635,884.778,885.523,961295030,11624444400.0
2020-01-15,885.743,888.22,879.362,887.175,1015053240,11223159800.0
2020-01-16,887.129,887.571,877.212,879.247,868698420,9381469900.0
2020-01-17,882.127,886.61,876.343,877.77,848219360,10157482300.0
2020-01-20,875.172,882.494,871.45,882.494,890083620,10263059600.0
2020-01-21,880.76,880.76,868.858,869.546,789468540,8583504200.0
2020-01-22,864.781,876.653,854.089,873.979,854978590,10463572300.0
2020-01-23,869.673,871.113,835.252,843.711,1093352320,12625405200.0
2020-02-03,761.542,765.444,761.31,761.668,385482900,3697987700.0
2020-02-04,715.554,760.489,715.554,756.99,1279786320,12199293800.0
2020-02-05,762.044,787.908,762.044,779.791,1159220710,12312642100.0
2020-02-06,779.148,800.018,771.307,797.515,1169586700,12223431400.0
2020-02-07,800.656,808.603,788.842,808.483,1150804230,11629977800.0
2020-02-10,809.163,823.717,806.534,823.541,1074372940,12386375700.0
2020-02-11,823.929,823.929,812.455,816.99,1015061180,13134681300.0
2020-02-12,818.547,833.363,818.0,833.363,969760360,12338119300.0
2020-02-13,835.735,840.866,824.764,825.125,1177592890,15157284000.0
2020-02-14,822.774,833.098,820.636,827.036,951783230,11990962700.0
2020-02-17,831.227,854.628,831.227,854.628,1196239170,13285769500.0
2020-02-18,855.713,869.327,853.828,869.327,1178666800,13983615000.0
2020-02-19,868.714,873.323,864.193,864.226,1260243360,14416677000.0
2020-02-20,866.034,881.523,858.812,880.551,1578663000,18513588000.0
2020-02-21,881.239,894.304,880.418,886.774,1577925100,17274498000.0
2020-02-24,883.906,899.255,881.636,896.237,1624255300,20222163000.0
2020-02-25,876.749,896.964,862.391,896.437,1793980800,21120099000.0
2020-02-26,885.538,904.875,882.312,885.659,1980696100,20877265000.0
2020-02-27,889.829,894.995,874.701,886.436,1376363200,14057223000.0
2020-02-28,859.75,868.161,835.618,836.103,1575526000,16096813000.0
2020-03-02,842.737,874.745,842.737,872.006,1411849700,14685252000.0
2020-03-03,884.643,894.078,872.674,879.782,1601756300,16894611000.0
2020-03-04,873.752,892.331,871.795,892.331,1396939700,13315352900.0
2020-03-05,903.903,911.842,899.251,911.842,1881341300,17734669000.0
2020-03-06,901.824,921.507,899.951,915.09,1622493000,16725134000.0
2020-03-09,900.85,909.068,882.004,882.004,1792550500,20325149000.0
2020-03-10,864.392,899.347,856.323,899.347,1674363200,18086814000.0
2020-03-11,899.106,907.45,884.648,884.648,1542440400,18578148000.0
