日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-11-27,1113.679,1139.933,1111.865,1139.2,320027990,4565288000.0
2023-11-28,1145.113,1179.472,1144.09,1173.893,2941562900,43078795000.0
2023-11-29,1184.187,1188.014,1160.82,1164.296,4051636800,51584437000.0
2023-11-30,1157.018,1164.55,1131.262,1143.931,4578122100,59980998000.0
2023-12-01,1141.344,1142.049,1122.28,1135.031,4145934300,55883395000.0
2023-12-04,1133.776,1142.538,1128.865,1136.428,4065813200,54449116000.0
2023-12-05,1133.493,1134.367,1120.752,1120.752,4225825000,51684990000.0
2023-12-06,1115.878,1136.125,1115.855,1118.858,4161316800,51996268000.0
2023-12-07,1116.327,1116.403,1103.953,1105.987,3698518800,43495322000.0
2023-12-08,1106.768,1113.125,1091.626,1093.272,3978243800,48146009000.0
2023-12-11,1089.606,1110.077,1084.881,1110.077,3422563000,46787330000.0
2023-12-12,1108.487,1117.127,1103.543,1115.248,3170698500,41392866000.0
2023-12-13,1112.495,1126.813,1105.671,1112.799,3117695800,40151938000.0
2023-12-14,1114.547,1118.545,1097.868,1098.209,2993019900,37763544000.0
2023-12-15,1098.68,1101.233,1087.739,1090.292,2636051500,33402036000.0
2023-12-18,1086.976,1094.38,1078.354,1080.617,2827147800,35234660000.0
2023-12-19,1079.0,1085.11,1072.326,1083.869,2556575100,34009434000.0
2023-12-20,1085.971,1092.478,1071.972,1072.231,2569296800,34305643000.0
2023-12-21,1066.409,1078.06,1053.69,1074.867,2751951900,36294089000.0
2023-12-22,1074.383,1078.734,1060.204,1064.173,2859644600,37036471000.0
2023-12-25,1064.927,1077.735,1059.206,1077.724,2631316200,33133777000.0
2023-12-26,1077.307,1077.307,1055.569,1058.106,2646671600,35675086000.0
2023-12-27,1057.094,1060.036,1049.572,1058.454,2239646100,29908706000.0
2023-12-28,1056.173,1084.575,1050.804,1080.469,2877800000,38108733000.0
2023-12-29,1077.906,1101.54,1077.196,1101.54,2934761500,40173425000.0
2024-01-02,1103.279,1105.623,1095.82,1095.82,2649278400,39500997000.0
2024-01-03,1093.555,1093.555,1071.323,1080.601,2541694500,38858696000.0
2024-01-04,1078.561,1079.953,1071.704,1076.353,2200737000,36114018000.0
2024-01-05,1078.304,1083.627,1048.434,1054.005,2460784500,38676249000.0
2024-01-08,1050.24,1051.213,1032.779,1032.779,2192662500,34352257000.0
2024-01-09,1034.734,1053.115,1032.159,1040.42,2228341300,33513296000.0
2024-01-10,1037.318,1043.171,1019.452,1028.423,2465352100,34914685000.0
2024-01-11,1026.686,1053.85,1025.521,1051.548,2664071700,42154746000.0
2024-01-12,1050.364,1054.212,1035.597,1035.597,2169468500,34003278000.0
2024-01-15,1030.603,1033.35,1017.915,1024.493,1915666400,28435100000.0
2024-01-16,1024.561,1027.461,1010.288,1024.705,2299193000,36119633000.0
2024-01-17,1022.547,1022.547,994.841,994.841,2201831100,34266883000.0
2024-01-18,988.966,993.743,961.88,990.61,2585359600,38478471000.0
2024-01-19,989.603,993.602,973.217,973.217,1836784700,30599730000.0
2024-01-22,971.487,973.747,912.076,919.309,2512548200,38423874000.0
2024-01-23,916.243,927.094,905.679,923.652,2147339100,32104867000.0
2024-01-24,926.992,933.796,896.444,929.045,2257785500,32383626000.0
2024-01-25,929.234,958.361,920.714,957.918,2546756100,37382309000.0
2024-01-26,954.716,965.77,945.582,948.194,2148253100,31847789000.0
2024-01-29,950.737,954.234,912.305,912.832,2000408000,28748236000.0
2024-01-30,905.988,918.875,885.711,887.037,1812023600,26589683000.0
2024-01-31,880.842,889.17,842.161,844.155,2577760600,37942556000.0
2024-02-01,837.907,853.45,820.379,834.202,2270367100,29672153000.0
2024-02-02,836.956,848.137,766.449,792.717,2815401300,33673856000.0
2024-02-05,783.393,783.393,708.422,721.3,3402511800,39588684000.0
2024-02-06,701.72,758.331,678.006,740.071,3599397800,40188579000.0
2024-02-07,743.168,760.422,719.517,729.764,4001690600,45585481000.0
2024-02-08,732.136,786.388,722.374,786.131,4012207100,44725294000.0
2024-02-19,796.679,819.236,796.679,815.903,3594526400,43921983000.0
2024-02-20,813.826,828.069,803.026,826.803,3008229100,37361309000.0
2024-02-21,818.491,866.323,813.889,841.547,3705452700,45625505000.0
2024-02-22,838.546,862.332,838.41,862.332,3012847000,37651178000.0
2024-02-23,865.808,896.381,860.867,895.646,3745393500,48357191000.0
2024-02-26,902.661,928.607,897.545,912.708,4026495100,55052603000.0
2024-02-27,910.392,953.123,908.648,953.123,3839624700,53401259000.0
2024-02-28,953.502,961.606,878.961,878.995,5142151900,67772956000.0
2024-02-29,865.941,921.87,865.941,921.87,3843738500,52914390000.0
2024-03-01,927.259,938.414,921.627,936.837,3842288400,53137327000.0
2024-03-04,936.106,939.085,909.905,929.686,3227401800,48842304000.0
2024-03-05,920.859,926.868,906.101,916.445,3332704100,51269908000.0
2024-03-06,911.6,932.202,909.718,925.216,2826423000,40955756000.0
2024-03-07,928.995,939.549,913.224,913.329,3097571300,45084236000.0
2024-03-08,913.126,924.054,906.596,921.73,2415222300,36971708000.0
2024-03-11,919.996,944.78,919.242,944.78,3054743300,58634092000.0
2024-03-12,948.229,963.642,944.651,963.642,3907500300,64946080000.0
2024-03-13,964.859,979.531,962.887,972.148,3821729700,59295510000.0
2024-03-14,968.646,974.87,948.466,963.138,3443646900,51678785000.0
2024-03-15,960.549,986.331,956.056,986.331,3493121900,53212190000.0
2024-03-18,991.812,1011.917,991.812,1011.917,4201178700,67610958000.0
2024-03-19,1009.043,1018.524,1004.2,1007.523,3785084900,59606183000.0
2024-03-20,1005.593,1018.832,1005.593,1018.832,3572036500,54997315000.0
2024-03-21,1018.451,1022.908,1005.599,1019.474,3820264000,53834254000.0
2024-03-22,1016.853,1017.108,999.052,1006.05,4084561200,55251488000.0
2024-03-25,1001.868,1008.423,978.34,978.576,3949116000,51892700000.0
2024-03-26,976.017,993.91,973.599,990.046,3560407000,53824541000.0
2024-03-27,987.645,988.061,947.695,947.695,3396196100,47632447000.0
2024-03-28,944.441,985.554,944.441,976.406,3399864400,48864914000.0
2024-03-29,984.633,994.693,974.291,989.912,3639771800,48543675000.0
2024-04-01,991.71,1015.391,991.71,1015.391,3786426700,57663427000.0
2024-04-02,1015.256,1015.256,999.064,1005.421,3954935600,52750214000.0
2024-04-03,1000.757,1000.757,975.072,983.319,3106743900,44995176000.0
2024-04-08,980.055,985.68,966.544,966.626,2976534700,45305862000.0
2024-04-09,966.346,978.412,964.756,978.412,2629436900,39721378000.0
2024-04-10,975.381,975.41,941.794,951.645,2880779900,38721865000.0
2024-04-11,944.259,964.502,940.791,950.762,2621753800,38802616000.0
2024-04-12,950.94,960.19,938.408,939.119,2733439100,38374218000.0
