日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1105.43,1133.391,1104.498,1130.28,1867106700,22704057000.0
2020-01-03,1133.673,1143.881,1130.847,1140.087,1734555400,20492130000.0
2020-01-06,1132.865,1160.416,1128.276,1152.178,1926283700,23492160000.0
2020-01-07,1154.766,1173.157,1154.632,1173.068,1750895500,21304720000.0
2020-01-08,1163.282,1165.66,1142.795,1145.718,1803020900,20882925000.0
2020-01-09,1157.466,1170.83,1157.466,1170.83,1835879800,21630269000.0
2020-01-10,1174.822,1175.946,1161.155,1165.033,1509313800,18335905000.0
2020-01-13,1165.221,1183.839,1159.537,1183.839,1456070900,19577767000.0
2020-01-14,1189.732,1190.734,1182.02,1182.788,1315719180,18038752000.0
2020-01-15,1183.65,1191.517,1177.402,1188.489,1510978000,19948563000.0
2020-01-16,1188.702,1189.821,1179.639,1183.579,1388926900,18091553000.0
2020-01-17,1187.454,1197.939,1185.219,1187.758,1447358400,19382758000.0
2020-01-20,1187.483,1195.531,1173.628,1195.309,1596044100,23187806000.0
2020-01-21,1190.654,1192.418,1178.058,1178.834,1684408500,23151858000.0
2020-01-22,1169.368,1183.866,1151.527,1177.82,1540790900,20657137000.0
2020-01-23,1167.469,1175.175,1122.912,1131.879,1849833900,23569643000.0
2020-02-03,1026.029,1036.878,1025.93,1034.413,1281698120,16238286000.0
2020-02-04,975.156,1038.14,975.156,1034.387,2653932800,28872262000.0
2020-02-05,1040.537,1075.308,1039.737,1064.94,2081339400,26715565000.0
2020-02-06,1068.586,1113.555,1063.373,1110.8,2334808100,30134553000.0
2020-02-07,1118.777,1141.091,1114.245,1140.97,2282730100,30463182000.0
2020-02-10,1144.694,1153.341,1134.345,1153.341,2359879600,28136441000.0
2020-02-11,1157.928,1159.158,1137.132,1144.116,1972679900,23440255000.0
2020-02-12,1140.299,1175.633,1139.184,1174.996,1833479800,24400111000.0
2020-02-13,1174.881,1179.035,1157.654,1165.043,1867964100,25506071000.0
2020-02-14,1160.727,1178.933,1153.475,1162.659,1630948500,22332681000.0
2020-02-17,1171.736,1208.627,1171.736,1208.627,2030379900,28119884000.0
2020-02-18,1213.262,1231.986,1209.383,1231.954,2131145400,30894722000.0
2020-02-19,1225.832,1230.255,1211.476,1211.476,1940449000,26948096000.0
2020-02-20,1212.33,1230.373,1200.81,1229.461,2255260700,31594988000.0
2020-02-21,1225.967,1257.334,1225.967,1248.27,2316319000,32952127000.0
2020-02-24,1248.664,1269.274,1240.569,1265.552,2434890300,34477686000.0
2020-02-25,1235.422,1261.432,1203.096,1261.377,2685116500,37744030000.0
2020-02-26,1239.309,1259.334,1226.877,1231.811,2798286900,35501309000.0
2020-02-27,1236.093,1257.79,1217.042,1243.24,2102061100,28916011000.0
2020-02-28,1198.109,1216.338,1166.801,1167.533,2537081300,31887562000.0
2020-03-02,1179.145,1220.432,1174.516,1214.296,1953173900,26360256000.0
2020-03-03,1234.245,1262.069,1217.912,1232.345,2268848400,31477435000.0
2020-03-04,1226.377,1245.098,1216.018,1242.172,2088219400,28986290000.0
2020-03-05,1265.119,1269.275,1242.482,1257.756,2500454100,33564900000.0
2020-03-06,1238.098,1253.074,1235.373,1244.671,2039855700,23500654000.0
2020-03-09,1220.382,1223.973,1183.025,1183.066,2154513400,27607005000.0
2020-03-10,1169.713,1221.37,1155.86,1221.189,2067273800,26761992000.0
2020-03-11,1226.797,1236.886,1207.368,1208.378,1949036000,24984710000.0
2020-03-12,1188.431,1196.907,1174.593,1186.508,1640618300,20416030000.0
2020-03-13,1122.587,1186.435,1122.587,1174.719,1958013700,24673522000.0
2020-03-16,1184.904,1190.453,1118.108,1122.976,2102985600,25790710000.0
2020-03-17,1133.29,1144.534,1081.714,1124.245,1791557400,21992882000.0
2020-03-18,1135.167,1154.874,1108.831,1108.831,1936471200,23727343000.0
2020-03-19,1108.988,1130.773,1094.387,1126.506,2203528500,24227715000.0
2020-03-20,1137.332,1141.863,1117.86,1138.655,1766781900,20027762000.0
2020-03-23,1104.552,1121.6,1085.232,1089.8,1695433200,19288123000.0
2020-03-24,1111.608,1120.236,1079.649,1114.183,1821498000,21791371000.0
2020-03-25,1136.394,1141.131,1127.54,1138.771,1853712900,21179491000.0
2020-03-26,1131.111,1145.434,1126.472,1132.946,1654239800,18761281000.0
2020-03-27,1147.781,1148.604,1127.175,1128.194,1576832000,18104067000.0
2020-03-30,1107.438,1107.438,1080.87,1094.67,1769176700,18311708000.0
2020-03-31,1104.834,1104.857,1090.906,1094.118,1903429500,17913266000.0
2020-04-01,1087.578,1101.286,1081.479,1083.437,1698661700,17416878000.0
2020-04-02,1078.24,1111.336,1077.742,1111.336,1421484000,16286527000.0
2020-04-03,1110.029,1113.667,1100.638,1105.406,1651915500,16178992000.0
2020-04-07,1125.613,1149.598,1125.613,1148.462,2173000000,22466288000.0
2020-04-08,1142.856,1156.021,1140.788,1152.49,2233147400,21371395000.0
2020-04-09,1157.558,1173.277,1155.813,1171.118,2134134000,22136142000.0
2020-04-10,1168.096,1168.096,1126.26,1130.557,1864738800,20459417000.0
2020-04-13,1120.886,1120.886,1104.888,1111.245,1409903500,14250447000.0
2020-04-14,1119.153,1137.397,1117.35,1137.397,1541756000,16105214000.0
2020-04-15,1138.003,1141.373,1125.665,1126.795,1913408300,19383475000.0
2020-04-16,1120.3,1145.812,1118.536,1144.7,1475048000,16644389000.0
2020-04-17,1152.343,1158.277,1141.085,1142.527,1671349200,19954727000.0
2020-04-20,1143.505,1161.197,1138.498,1161.197,1474445600,17432835000.0
2020-04-21,1154.481,1163.386,1147.166,1162.314,1636347000,19477998000.0
2020-04-22,1151.058,1171.867,1148.999,1171.833,1526764400,16543535000.0
2020-04-23,1175.275,1175.275,1160.165,1162.345,1999932400,18742889000.0
2020-04-24,1160.572,1160.661,1132.653,1137.458,1743118700,17466404000.0
2020-04-27,1137.841,1143.756,1130.315,1131.194,1656562500,15293720000.0
2020-04-28,1129.927,1130.69,1079.021,1114.871,1998953100,18411733000.0
2020-04-29,1109.792,1124.019,1107.635,1114.972,1929979200,16966841000.0
2020-04-30,1120.564,1151.934,1120.351,1148.769,2014202000,21745849000.0
2020-05-06,1136.903,1171.04,1136.341,1171.028,2277041900,25423141000.0
2020-05-07,1170.66,1171.261,1160.303,1164.951,2189747000,20412888000.0
2020-05-08,1171.803,1186.378,1170.927,1181.952,1956138300,21592251000.0
2020-05-11,1188.767,1192.752,1173.45,1180.618,1757504500,21041724000.0
2020-05-12,1178.865,1180.1,1161.5,1179.895,1541641800,18361282000.0
2020-05-13,1174.815,1193.528,1172.232,1191.829,1570157700,18051191000.0
2020-05-14,1186.147,1191.872,1180.921,1181.528,1561300100,18229681000.0
2020-05-15,1187.632,1198.182,1186.452,1192.929,1467864200,19134559000.0
2020-05-18,1191.73,1194.864,1173.61,1183.127,1569954300,19781481000.0
2020-05-19,1194.48,1205.489,1193.064,1205.489,1423735700,18044109000.0
2020-05-20,1204.694,1205.242,1189.634,1194.35,1858229800,21257647000.0
