日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,762.032,770.223,761.428,769.439,3073341000,26601596000.0
2020-01-03,770.519,775.125,768.532,773.852,2860303600,23468967000.0
2020-01-06,770.299,783.593,768.259,778.708,3242655200,29187934000.0
2020-01-07,780.509,788.9,780.509,788.9,3144407800,25544133000.0
2020-01-08,785.915,788.098,774.872,777.072,3307678300,27310141000.0
2020-01-09,782.663,787.756,782.527,787.756,2868312600,25528197000.0
2020-01-10,789.057,789.569,781.721,785.155,2424563500,21482726000.0
2020-01-13,785.472,791.671,780.031,791.671,2652549900,26174529000.0
2020-01-14,793.515,798.758,793.064,795.555,3154511600,30636364000.0
2020-01-15,794.904,795.738,787.445,790.017,2633044800,24811038000.0
2020-01-16,791.239,792.109,784.398,785.145,2533983300,24779696000.0
2020-01-17,786.742,788.518,781.665,782.525,2275231100,22318078000.0
2020-01-20,782.728,787.8,779.258,787.8,2488890400,23108490000.0
2020-01-21,786.358,786.358,775.377,775.377,2375143300,21925249000.0
2020-01-22,774.323,779.451,763.467,776.471,2517119100,23325361000.0
2020-01-23,770.011,772.868,743.933,749.833,2924725200,26208899000.0
2020-02-03,677.528,678.506,676.927,677.476,1334883510,12550286500.0
2020-02-04,628.693,667.455,628.693,664.388,3820614100,29534269000.0
2020-02-05,666.547,689.386,666.547,681.138,3187399300,29046502000.0
2020-02-06,683.227,699.509,678.93,697.285,3241607900,29776899000.0
2020-02-07,698.487,708.261,693.39,708.261,3326481600,31406876000.0
2020-02-10,709.367,723.602,707.167,723.409,3439212800,31889251000.0
2020-02-11,723.357,723.357,715.53,718.303,3404871000,31470386000.0
2020-02-12,717.738,729.581,717.17,729.562,3289830800,33043310000.0
2020-02-13,729.583,731.786,718.817,721.857,3395747200,32386101000.0
2020-02-14,719.731,727.611,717.864,722.637,3035095800,29694407000.0
2020-02-17,725.077,745.271,725.077,745.271,3537416700,33403961000.0
2020-02-18,745.605,754.094,741.892,754.094,3561192400,34671455000.0
2020-02-19,753.457,758.991,751.679,752.117,3602633500,34163520000.0
2020-02-20,754.735,765.552,750.069,765.125,4035101500,34657277000.0
2020-02-21,765.525,778.331,764.803,773.258,4927786700,43462498000.0
2020-02-24,772.48,780.759,766.712,778.56,4578221000,43512211000.0
2020-02-25,761.581,775.202,744.221,775.033,5424851900,49300028000.0
2020-02-26,766.428,789.989,764.609,774.817,6205136300,53012698000.0
2020-02-27,778.901,789.17,774.363,782.901,4953077600,46155189000.0
2020-02-28,760.036,768.913,740.342,740.674,5131665200,46541873000.0
2020-03-02,748.756,782.835,748.756,780.683,5283231700,48230013000.0
2020-03-03,796.51,802.043,784.302,792.161,6165691100,61658434000.0
2020-03-04,787.886,807.407,786.975,807.407,5544034400,53947597000.0
2020-03-05,817.529,823.222,814.484,822.179,6143522700,56119787000.0
2020-03-06,810.639,822.398,809.667,816.385,5283306600,46278599000.0
2020-03-09,802.6,808.959,788.124,788.124,5209839200,45654320000.0
2020-03-10,776.848,805.72,768.884,805.72,5366300400,47953820000.0
2020-03-11,808.085,816.046,800.667,800.667,5342518500,44095642000.0
2020-03-12,789.37,795.205,779.269,786.374,4387087500,37736097000.0
2020-03-13,746.196,784.436,746.027,779.027,5035798800,45077089000.0
2020-03-16,786.285,790.07,751.786,753.145,5187018900,46768196000.0
2020-03-17,755.671,763.478,727.421,751.679,4435640500,39348957000.0
2020-03-18,758.386,769.357,740.978,740.978,4331672600,40724692000.0
2020-03-19,737.271,746.829,723.478,744.547,4018870500,35323998000.0
2020-03-20,751.12,757.099,746.553,756.894,3561169400,32169198000.0
2020-03-23,738.355,749.164,729.721,731.643,3439863500,30813006000.0
2020-03-24,744.9,747.855,725.836,744.943,3512337800,29883147000.0
2020-03-25,757.805,760.079,750.869,758.655,3655995300,30227564000.0
2020-03-26,752.719,756.805,746.032,746.541,3055659700,25706747000.0
2020-03-27,754.837,760.764,746.025,746.429,3480842500,30038488000.0
2020-03-30,736.139,738.81,724.535,733.337,3261156800,27331671000.0
2020-03-31,739.058,741.033,731.006,731.755,2789856900,22935791000.0
2020-04-01,729.431,737.334,723.207,724.255,2728545200,22345304000.0
2020-04-02,719.765,741.026,719.666,741.026,2803334200,23931927000.0
2020-04-03,740.34,741.383,730.912,733.95,2644633500,22727428000.0
2020-04-07,745.776,757.555,745.734,756.395,3365825900,29756053000.0
2020-04-08,754.072,761.473,753.004,759.466,2916129400,24965816000.0
2020-04-09,762.751,766.177,762.034,764.116,3057922100,26072642000.0
2020-04-10,762.995,762.995,745.014,746.781,3018193800,24557569000.0
2020-04-13,742.298,744.715,736.934,741.075,2233093700,18853127000.0
2020-04-14,743.144,752.713,743.144,752.713,2539254700,21892434000.0
2020-04-15,752.909,753.319,745.412,745.947,2789050500,23018112000.0
2020-04-16,742.283,749.036,740.221,748.791,2669023400,22105473000.0
2020-04-17,752.762,756.988,750.078,751.132,3156368400,27279144000.0
2020-04-20,752.762,758.301,751.054,758.301,2822622300,24085785000.0
2020-04-21,755.614,756.497,748.28,755.92,3155696200,26511227000.0
2020-04-22,750.901,760.7,748.406,760.623,3182626600,26030609000.0
2020-04-23,761.681,765.599,756.478,760.65,3279388400,27445018000.0
2020-04-24,758.955,759.203,743.878,745.842,3240039700,26615843000.0
2020-04-27,745.297,747.143,740.063,740.526,2668254700,21887287000.0
2020-04-28,738.846,738.919,704.214,719.75,3370972400,26268388000.0
2020-04-29,715.869,723.048,714.838,717.207,2369557200,18303920000.0
2020-04-30,720.407,735.119,720.407,733.777,2829254500,23717443000.0
2020-05-06,730.627,747.577,729.621,747.577,3043584400,26312956000.0
2020-05-07,748.326,749.492,743.626,745.415,2886528500,23600872000.0
2020-05-08,749.511,755.288,749.332,753.24,3200154400,27935888000.0
2020-05-11,754.475,756.907,749.598,753.98,3062640600,27697748000.0
2020-05-12,753.606,753.606,741.801,749.653,2580561400,21332677000.0
2020-05-13,747.795,752.048,744.994,752.041,2600547900,21199585000.0
2020-05-14,748.996,751.612,745.047,745.047,2990588500,23867735000.0
2020-05-15,746.537,749.845,744.973,745.723,2610272000,23033546000.0
2020-05-18,747.259,747.263,738.628,740.131,2800358100,24828845000.0
2020-05-19,745.523,746.58,742.507,745.518,2705776500,24065853000.0
2020-05-20,744.904,744.904,739.5,741.781,3025272400,25087835000.0
2020-05-21,742.461,743.236,732.607,733.805,2898643900,22941932000.0
2020-05-22,731.731,732.087,718.204,721.459,2579576700,20197443000.0
2020-05-25,719.82,721.717,714.254,716.758,2029335100,16891046000.0
2020-05-26,719.079,729.268,718.467,729.134,2164850600,17714199000.0
