日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2025-07-21,1125.207,1125.207,1122.099,1125.207,370750770,4135244400.0
2025-07-22,1235.408,1258.323,1235.408,1257.595,1836348400,24142850000.0
2025-07-23,1350.014,1356.512,1309.777,1309.777,5679603300,61578428000.0
2025-07-24,1312.289,1352.686,1291.807,1344.032,13547083000,109989065000.0
2025-07-25,1338.539,1338.856,1294.525,1294.525,11414173400,103972448000.0
2025-07-28,1281.43,1291.652,1275.923,1286.722,7460276800,70394263000.0
2025-07-29,1280.804,1311.608,1267.647,1307.928,10713888300,85968963000.0
2025-07-30,1296.149,1319.358,1289.378,1293.06,10107007100,77365876000.0
2025-07-31,1285.585,1295.807,1269.264,1273.529,8836889600,66070413000.0
2025-08-01,1269.726,1276.804,1262.677,1265.928,6622840100,51049435000.0
2025-08-04,1262.753,1277.034,1262.593,1269.561,5178105000,42365183000.0
2025-08-05,1269.734,1279.502,1267.332,1279.502,5811488300,48328153000.0
2025-08-06,1275.736,1276.209,1266.861,1273.114,5372641300,46424337000.0
2025-08-07,1273.303,1274.201,1263.11,1270.086,6483338700,49761568000.0
2025-08-08,1263.234,1304.495,1263.234,1298.23,6837878900,60217908000.0
2025-08-11,1303.833,1306.334,1297.442,1304.477,5489393500,51088251000.0
2025-08-12,1304.542,1304.542,1289.862,1292.835,4640193000,42216896000.0
2025-08-13,1293.283,1302.126,1291.578,1297.26,4896328300,45672737000.0
2025-08-14,1296.429,1300.534,1274.582,1274.582,5458656300,50255646000.0
2025-08-15,1268.603,1288.403,1267.216,1287.681,4793826300,44296074000.0
2025-08-18,1292.329,1305.028,1289.488,1301.093,6660547200,55325422000.0
2025-08-19,1301.232,1309.85,1294.514,1300.448,5713501400,49923903000.0
2025-08-20,1298.209,1306.579,1290.082,1306.579,5160065700,43989394000.0
2025-08-21,1313.573,1320.832,1303.322,1308.5,6234708800,51000533000.0
2025-08-22,1304.769,1307.089,1295.711,1307.027,5436650600,44095740000.0
2025-08-25,1311.787,1325.707,1310.199,1319.727,6876708500,56628277000.0
2025-08-26,1318.359,1322.06,1309.814,1316.108,6589565700,47536641000.0
2025-08-27,1315.752,1318.234,1284.0,1284.0,7340666200,56941879000.0
2025-08-28,1281.817,1292.366,1251.001,1287.137,6265211600,48977692000.0
2025-08-29,1290.068,1295.241,1282.295,1284.303,6102460800,47161249000.0
2025-09-01,1285.386,1291.03,1280.418,1287.892,5626349500,44021539000.0
2025-09-02,1288.161,1288.161,1250.639,1263.487,5155946100,39843524000.0
2025-09-03,1266.592,1268.057,1237.946,1242.589,4192826400,32232297000.0
2025-09-04,1242.925,1253.758,1224.374,1240.123,4580623400,34939762000.0
2025-09-05,1242.005,1263.95,1234.56,1263.95,3990405600,30868046000.0
2025-09-08,1262.963,1273.132,1260.671,1272.504,3988882200,35082957000.0
2025-09-09,1272.455,1275.145,1257.606,1263.173,3578620100,31079645000.0
2025-09-10,1261.986,1268.321,1252.251,1260.506,2995741800,24261234000.0
2025-09-11,1259.522,1277.133,1252.71,1277.133,3588770700,29525820000.0
2025-09-12,1279.472,1287.566,1277.959,1280.455,4468767600,34170222000.0
2025-09-15,1280.636,1281.543,1271.18,1278.057,3664340000,28795769000.0
2025-09-16,1278.826,1282.934,1265.682,1282.934,3674433600,26937219000.0
2025-09-17,1282.795,1295.452,1277.852,1294.464,3800727300,31789684000.0
2025-09-18,1294.322,1304.731,1271.484,1280.596,4897885800,40175520000.0
2025-09-19,1280.639,1296.529,1280.639,1293.546,4606766100,43234729000.0
2025-09-22,1293.234,1293.234,1274.699,1285.919,3696723900,33673228000.0
2025-09-23,1283.991,1284.32,1250.911,1272.286,4241462500,36221486000.0
2025-09-24,1267.47,1283.065,1262.532,1283.065,3306166800,30120130000.0
2025-09-25,1286.371,1289.73,1276.126,1277.502,3323793800,31217451000.0
2025-09-26,1277.74,1288.095,1273.589,1275.963,3148902700,29443371000.0
2025-09-29,1280.495,1289.437,1267.324,1287.024,3519940300,30637128000.0
2025-09-30,1290.158,1298.116,1289.421,1294.173,3386674000,30445830000.0
2025-10-09,1300.593,1321.635,1300.593,1321.477,5957132100,45719714000.0
2025-10-10,1319.031,1338.945,1311.913,1331.592,5503927200,47213417000.0
2025-10-13,1290.197,1336.486,1289.195,1335.964,7484069300,54534945000.0
2025-10-14,1342.886,1355.133,1321.985,1326.246,9847550300,64240832000.0
2025-10-15,1329.136,1351.075,1328.043,1350.945,7247613100,51607029000.0
2025-10-16,1352.196,1352.196,1327.553,1331.025,5036017900,44779750000.0
2025-10-17,1328.458,1334.113,1295.303,1297.209,5847621900,45942091000.0
2025-10-20,1309.841,1314.398,1299.842,1308.869,4248943200,33311983000.0
2025-10-21,1311.237,1337.883,1311.237,1337.683,4364055500,36835414000.0
2025-10-22,1338.957,1353.479,1336.631,1345.647,4187609600,38246832000.0
2025-10-23,1339.495,1343.586,1324.199,1342.509,3810687800,34378478000.0
2025-10-24,1342.005,1348.098,1335.757,1341.568,3797017900,34366924000.0
2025-10-27,1348.095,1354.249,1345.863,1353.022,5091747900,49610189000.0
2025-10-28,1351.384,1354.742,1344.504,1347.216,4453448600,41039210000.0
2025-10-29,1346.972,1363.922,1342.574,1363.895,3838179600,39549066000.0
2025-10-30,1362.582,1363.273,1347.574,1348.798,5017324400,48724688000.0
2025-10-31,1348.7,1357.887,1346.916,1352.89,4898897100,45879423000.0
2025-11-03,1358.845,1361.542,1349.611,1361.542,4966839700,42926127000.0
2025-11-04,1361.208,1367.414,1346.312,1356.285,5893704100,46711709000.0
2025-11-05,1343.523,1380.447,1342.631,1377.388,5425990600,52586625000.0
2025-11-06,1377.563,1384.055,1369.905,1380.569,5673917600,56170864000.0
2025-11-07,1379.116,1387.681,1378.302,1382.729,4411284500,46065816000.0
2025-11-10,1388.091,1389.102,1375.382,1384.585,4452470600,49119586000.0
2025-11-11,1387.196,1389.284,1380.301,1383.638,3754618300,39593040000.0
2025-11-12,1380.264,1380.264,1355.626,1364.5,4009632600,47094004000.0
2025-11-13,1363.16,1379.985,1358.988,1377.475,3833119100,44844201000.0
2025-11-14,1370.12,1378.696,1367.389,1367.389,3837412400,43320275000.0
2025-11-17,1367.19,1374.071,1360.851,1370.621,3476963300,38755425000.0
2025-11-18,1369.635,1369.635,1345.931,1351.077,3868296000,41795863000.0
