日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1073.326,1084.508,1065.93,1080.647,257191220,3469681400.0
2020-01-03,1080.715,1081.508,1072.789,1079.681,185440410,2582333700.0
2020-01-06,1074.042,1088.218,1071.709,1080.456,182239350,2572450500.0
2020-01-07,1080.015,1092.219,1080.015,1092.219,163840000,2090105600.0
2020-01-08,1087.449,1087.449,1069.488,1070.634,170904410,2228197600.0
2020-01-09,1078.835,1085.925,1076.936,1085.836,158263090,2173430500.0
2020-01-10,1088.88,1093.73,1082.969,1091.013,161895740,2484400100.0
2020-01-13,1091.373,1096.415,1085.421,1096.354,155614560,2358970400.0
2020-01-14,1097.823,1106.92,1097.212,1105.747,184071640,2598049000.0
2020-01-15,1103.417,1104.126,1092.506,1095.747,135497060,1870176900.0
2020-01-16,1095.752,1097.147,1081.696,1083.086,125614460,1808542100.0
2020-01-17,1081.645,1085.501,1075.772,1076.395,135129010,1924641500.0
2020-01-20,1093.481,1109.261,1089.276,1109.261,262575620,4552065900.0
2020-01-21,1124.347,1149.383,1119.144,1148.806,512301350,7952527800.0
2020-01-22,1157.986,1157.986,1108.53,1111.998,374840660,5655146100.0
2020-01-23,1117.277,1133.376,1083.209,1102.62,308088390,4761185400.0
2020-02-03,1055.487,1072.973,1035.239,1051.465,418051090,7391012100.0
2020-02-04,1025.304,1075.925,1023.406,1065.632,454069070,6517775700.0
2020-02-05,1078.874,1131.083,1069.145,1131.044,540825610,8504340800.0
2020-02-06,1129.427,1183.595,1118.378,1159.824,606692970,10291594300.0
2020-02-07,1170.423,1181.301,1120.819,1136.472,545862830,8776157600.0
2020-02-10,1130.045,1130.131,1102.008,1112.612,375282430,5372856100.0
2020-02-11,1110.407,1136.812,1095.272,1136.281,339173030,5073450400.0
2020-02-12,1140.403,1152.728,1128.922,1140.048,344228500,5567781800.0
2020-02-13,1138.955,1144.765,1122.835,1139.014,391105070,6275309000.0
2020-02-14,1134.942,1146.512,1123.196,1131.097,283792580,4802561800.0
2020-02-17,1146.064,1159.092,1145.679,1159.092,191091580,3195170600.0
2020-02-18,1186.61,1187.432,1160.277,1172.798,510871620,9525158500.0
2020-02-19,1167.543,1167.543,1135.493,1138.225,347785940,5900573400.0
2020-02-20,1136.494,1142.079,1123.834,1139.585,263464250,4368372700.0
2020-02-21,1139.366,1149.016,1130.122,1146.317,298524880,4812500400.0
2020-02-24,1154.687,1163.678,1146.728,1152.486,304709990,5107201200.0
2020-02-25,1132.475,1174.908,1127.715,1174.222,476077170,8256448300.0
2020-02-26,1162.373,1162.373,1132.767,1134.733,354058930,6108147000.0
2020-02-27,1139.344,1144.627,1125.139,1130.958,202531140,3438600000.0
2020-02-28,1109.672,1124.485,1084.947,1086.523,288995920,4723923200.0
2020-03-02,1090.841,1115.254,1090.841,1113.769,209849820,3433388300.0
2020-03-03,1123.146,1133.432,1117.007,1124.148,268823430,4299551200.0
2020-03-04,1120.429,1138.978,1117.463,1138.978,300271250,5341912900.0
2020-03-05,1145.986,1153.838,1143.23,1153.838,289622810,5217999000.0
2020-03-06,1149.001,1166.083,1146.881,1154.268,233158530,4054848400.0
2020-03-09,1150.47,1162.714,1143.486,1147.632,345175010,6147658000.0
2020-03-10,1133.57,1144.186,1109.085,1141.762,314026420,5431885000.0
2020-03-11,1145.96,1149.51,1130.693,1130.693,244384150,4277372100.0
2020-03-12,1122.594,1125.276,1095.434,1102.175,214163130,3734844700.0
2020-03-13,1048.081,1091.54,1046.133,1079.45,248000900,4064057500.0
2020-03-16,1099.982,1116.289,1061.788,1065.503,290354950,5430246200.0
2020-03-17,1068.671,1081.54,1023.351,1063.71,301894390,5708439500.0
2020-03-18,1082.399,1096.497,1063.396,1063.396,279318180,6245743900.0
2020-03-19,1077.859,1089.845,1061.516,1087.31,462186670,8937210000.0
2020-03-20,1096.967,1115.694,1091.585,1115.507,418119170,8098744800.0
2020-03-23,1097.218,1115.293,1089.136,1093.198,383809140,6388073200.0
2020-03-24,1103.635,1105.712,1070.386,1095.49,385054100,6455489600.0
2020-03-25,1105.15,1119.872,1094.358,1118.312,359448720,6451271700.0
2020-03-26,1108.497,1140.732,1102.565,1139.337,366203280,7346068700.0
2020-03-27,1151.308,1154.473,1124.382,1124.732,321238160,7170702900.0
2020-03-30,1120.659,1134.102,1116.0,1130.231,288086410,6171256300.0
2020-03-31,1133.056,1133.985,1114.83,1121.274,224969300,4793738800.0
2020-04-01,1115.073,1115.18,1093.286,1093.67,228595680,4771351700.0
2020-04-02,1088.769,1103.273,1076.721,1103.273,237081320,5014755600.0
2020-04-03,1101.512,1117.92,1100.975,1107.427,249417410,5320509400.0
2020-04-07,1125.374,1148.557,1117.847,1147.503,317171020,6263442900.0
2020-04-08,1144.413,1170.983,1143.774,1163.044,400817070,7482003100.0
2020-04-09,1170.772,1185.976,1162.21,1175.388,453909430,8355676500.0
2020-04-10,1176.349,1199.508,1164.595,1167.122,492809340,7418961700.0
2020-04-13,1160.08,1177.748,1157.894,1166.31,376874510,5883310000.0
2020-04-14,1164.454,1186.833,1148.959,1179.857,376088080,6599611400.0
2020-04-15,1175.671,1210.987,1174.502,1204.662,471003780,7505598000.0
2020-04-16,1200.112,1232.215,1198.081,1218.378,557745070,8260607500.0
2020-04-17,1221.671,1221.671,1191.393,1199.084,555350650,7253920900.0
2020-04-20,1193.268,1208.989,1192.233,1204.789,343711680,5676169700.0
2020-04-21,1200.896,1215.824,1195.969,1208.982,432571690,6859907100.0
2020-04-22,1190.159,1205.391,1179.961,1205.391,328131980,5297293000.0
2020-04-23,1206.355,1219.854,1185.409,1186.169,392941190,7509149800.0
2020-04-24,1183.848,1186.176,1161.352,1161.352,361791590,6608813800.0
2020-04-27,1160.717,1161.224,1135.535,1156.947,322309600,5903078700.0
2020-04-28,1156.351,1157.613,1108.87,1127.386,281347820,4914915600.0
2020-04-29,1121.877,1139.777,1117.341,1122.182,213881890,4095404400.0
2020-04-30,1114.644,1128.553,1112.575,1126.18,258116220,4840037800.0
2020-05-06,1120.628,1143.073,1116.724,1143.073,232717790,4193017000.0
2020-05-07,1142.157,1142.709,1131.806,1132.195,209840860,3677842200.0
2020-05-08,1136.641,1142.095,1130.919,1141.105,234342080,3707222500.0
2020-05-11,1142.184,1144.825,1134.138,1143.014,214228790,3407458200.0
2020-05-12,1150.376,1155.014,1140.083,1147.067,217592130,3943876800.0
2020-05-13,1156.68,1156.68,1137.602,1151.615,197564840,3171715400.0
2020-05-14,1149.714,1155.674,1124.535,1125.133,248914560,4192532900.0
2020-05-15,1120.192,1127.704,1117.267,1119.784,200043800,3343141700.0
2020-05-18,1117.21,1122.784,1107.291,1113.488,193692500,3474322000.0
2020-05-19,1121.613,1128.364,1114.149,1121.081,172739510,3405041300.0
2020-05-20,1117.85,1122.398,1101.377,1104.198,154309040,2779400300.0
2020-05-21,1106.372,1120.328,1102.555,1105.474,219927120,3337508900.0
2020-05-22,1101.597,1101.729,1069.73,1074.135,174733450,3090757000.0
2020-05-25,1070.406,1080.743,1070.406,1075.53,128989665,1893171500.0
2020-05-26,1077.259,1089.993,1074.942,1089.475,151893410,1965779800.0
2020-05-27,1088.036,1090.072,1080.535,1085.683,165598930,2223532100.0
2020-05-28,1085.743,1088.16,1072.108,1082.211,266589280,2936856700.0
