日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1136.291,1147.119,1133.412,1147.046,864135420,4650951000.0
2020-01-03,1148.781,1170.383,1146.747,1164.968,1208697380,6870588900.0
2020-01-06,1174.11,1193.212,1174.11,1190.153,1754339400,9391879300.0
2020-01-07,1181.846,1186.765,1178.309,1186.588,1354003700,6527288300.0
2020-01-08,1199.681,1202.417,1181.418,1182.392,1410297100,7333094800.0
2020-01-09,1171.853,1191.204,1171.306,1184.1,1199348130,6635982400.0
2020-01-10,1183.028,1183.785,1164.148,1167.729,780862670,4131369600.0
2020-01-13,1167.122,1172.772,1156.111,1172.772,712553290,3956322700.0
2020-01-14,1175.136,1182.66,1171.817,1178.324,998815490,4990558600.0
2020-01-15,1176.886,1177.273,1163.697,1167.162,635323170,3379978000.0
2020-01-16,1167.89,1170.237,1160.951,1161.675,662378910,3693077900.0
2020-01-17,1165.945,1168.461,1159.045,1161.404,629657780,3472309400.0
2020-01-20,1161.92,1163.511,1154.173,1163.019,628413900,3599083100.0
2020-01-21,1163.346,1163.346,1152.159,1152.159,725312430,4006378100.0
2020-01-22,1148.157,1154.595,1131.869,1152.145,664218020,3811864900.0
2020-01-23,1144.256,1144.256,1104.471,1112.673,877972640,4808212600.0
2020-02-03,1009.537,1014.442,1007.733,1013.041,818633400,4855889800.0
2020-02-04,943.259,992.39,943.259,986.523,1293417130,6231421600.0
2020-02-05,989.711,1015.579,988.847,1002.367,1041298090,5364734800.0
2020-02-06,1009.158,1023.024,1001.15,1019.39,950116300,4930220300.0
2020-02-07,1016.835,1025.556,1008.817,1025.002,871274030,4807835500.0
2020-02-10,1027.689,1051.363,1024.591,1051.363,924010410,5173432600.0
2020-02-11,1050.532,1060.009,1045.789,1052.689,884263090,5284887400.0
2020-02-12,1051.562,1066.198,1051.562,1066.198,782066310,4905044100.0
2020-02-13,1069.07,1073.312,1052.639,1053.533,804361350,4849016200.0
2020-02-14,1048.719,1054.735,1041.444,1046.971,625397140,3782686700.0
2020-02-17,1052.573,1079.042,1052.151,1079.042,911923020,5037840800.0
2020-02-18,1080.525,1091.228,1076.179,1091.228,955923640,5455374300.0
2020-02-19,1089.458,1100.49,1086.451,1091.339,995622080,5144489400.0
2020-02-20,1096.651,1117.953,1095.545,1117.033,1184428020,6229068900.0
2020-02-21,1115.616,1128.112,1113.966,1125.978,1240041100,6562222800.0
2020-02-24,1123.443,1130.346,1109.411,1125.298,1254881180,7556545800.0
2020-02-25,1101.344,1116.391,1079.371,1113.466,1636753200,9129651400.0
2020-02-26,1101.811,1128.466,1097.274,1112.526,1856690500,8707993800.0
2020-02-27,1111.445,1116.6,1100.811,1110.227,1324055310,6354253300.0
2020-02-28,1081.091,1090.078,1059.4,1060.113,1560611900,8056741000.0
2020-03-02,1066.919,1098.328,1066.919,1094.807,1189326340,6978059500.0
2020-03-03,1113.087,1123.465,1100.226,1107.636,1279135330,7416256600.0
2020-03-04,1100.128,1117.992,1099.945,1117.838,1099107790,5768212100.0
2020-03-05,1127.147,1147.336,1126.579,1147.336,1574159300,8307016500.0
2020-03-06,1134.013,1169.163,1132.2,1164.332,1535315100,9039202400.0
2020-03-09,1139.651,1153.496,1132.587,1135.624,2254149600,12714641600.0
2020-03-10,1113.007,1140.823,1093.405,1140.823,1786990800,10745839400.0
2020-03-11,1141.684,1152.209,1131.139,1131.139,1378437100,7855564800.0
2020-03-12,1115.765,1117.869,1100.326,1109.153,1202520900,6712681600.0
2020-03-13,1053.524,1098.141,1052.665,1088.994,1343665800,7110886900.0
2020-03-16,1099.814,1103.071,1055.307,1056.981,1288695830,7051053700.0
2020-03-17,1059.956,1069.716,1020.777,1046.382,1004445970,5530455800.0
2020-03-18,1054.316,1063.789,1029.407,1029.407,954569230,5461352700.0
2020-03-19,1026.715,1032.943,1004.009,1025.799,977344900,5130097900.0
2020-03-20,1037.366,1051.239,1034.644,1050.196,856582510,4681880400.0
2020-03-23,1029.334,1042.681,1017.689,1020.998,904526530,4780924900.0
2020-03-24,1037.904,1045.324,1018.056,1041.362,895159810,4620719400.0
2020-03-25,1055.968,1059.876,1048.668,1059.097,955977490,4897618900.0
2020-03-26,1052.506,1056.967,1046.987,1048.11,807697810,4266185700.0
2020-03-27,1060.437,1061.506,1039.942,1040.833,814229780,4421491800.0
