日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-01-05,1021.938,1043.197,1006.537,1015.597,660840490,6347854100.0
2022-01-06,997.184,1013.242,996.493,1005.93,566220190,6826023500.0
2022-01-07,997.34,1001.142,974.992,974.992,469465860,5661748600.0
2022-01-10,971.855,988.825,962.124,985.977,395932560,4703324600.0
2022-01-11,986.236,988.536,963.056,965.006,343049880,4227783200.0
2022-01-12,975.796,1062.393,970.428,1059.117,718744540,8165436000.0
2022-01-13,1105.115,1139.084,1101.797,1125.193,909949010,12022039000.0
2022-01-14,1155.76,1176.562,1119.334,1125.203,1685863300,17916189000.0
2022-01-17,1123.006,1138.296,1099.943,1130.85,1816165000,17892369000.0
2022-01-18,1115.969,1115.994,1080.208,1082.087,1466141500,14479512000.0
2022-01-19,1062.745,1085.372,1060.893,1077.704,1587428700,15575933000.0
2022-01-20,1070.471,1102.198,1061.378,1063.241,1647875200,16323193000.0
2022-01-21,1056.101,1056.101,1030.6,1030.822,1489662700,14255342000.0
2022-01-24,1024.817,1030.832,1014.029,1015.498,1283993610,11665484600.0
2022-01-25,1003.898,1005.759,974.937,975.562,1332962740,11390432500.0
2022-01-26,975.922,982.625,955.262,965.635,1010351680,8705133700.0
2022-01-27,959.971,962.33,929.454,929.454,975899240,8426887200.0
2022-01-28,931.987,960.577,931.987,949.615,1137578820,11252174400.0
2022-02-07,956.205,962.145,937.63,960.446,1143639670,11738324900.0
2022-02-08,961.434,979.967,958.369,979.913,1087511820,10656040400.0
2022-02-09,981.029,999.924,978.921,999.609,1367025000,13771871000.0
2022-02-10,995.048,1006.041,993.236,1005.441,1396941600,14557643000.0
2022-02-11,997.706,997.706,975.939,977.832,1288015210,12408288300.0
2022-02-14,975.021,990.52,975.021,983.991,1025078860,10503852700.0
2022-02-15,983.828,985.067,967.765,973.101,1106194940,10481956000.0
2022-02-16,972.491,978.897,969.388,978.778,1030649490,9488167700.0
2022-02-17,975.633,975.79,966.069,970.149,1258914540,11935628300.0
2022-02-18,963.903,974.09,962.155,972.479,1028047200,9969869400.0
2022-02-21,971.397,982.5,969.986,981.967,1028600740,9789531400.0
2022-02-22,976.472,979.105,962.474,968.791,1112984800,12328499400.0
2022-02-23,974.147,978.2,963.587,969.402,1145605780,13868975000.0
2022-02-24,964.703,972.13,930.393,941.104,1515588200,16071765000.0
2022-02-25,943.769,953.634,943.769,947.104,988404410,10136450400.0
2022-02-28,948.515,949.502,932.366,949.25,961843210,9621150700.0
2022-03-01,952.135,970.909,951.838,970.909,1247504890,14394670000.0
2022-03-02,967.066,977.077,965.214,974.129,1181083590,12865979900.0
2022-03-03,975.84,978.192,971.057,973.497,1010985970,10407311100.0
2022-03-04,969.048,978.266,964.697,967.759,1073728450,11043586100.0
2022-03-07,965.948,968.066,950.061,954.618,1066345050,11269945700.0
2022-03-08,952.624,953.752,927.997,929.662,1216032600,12725033500.0
2022-03-09,931.36,939.665,882.164,918.242,1368020900,14034867000.0
2022-03-10,935.203,939.596,923.748,929.282,1209244210,14155769000.0
2022-03-11,918.864,960.681,908.533,958.098,1590081900,15754928000.0
2022-03-14,956.496,967.986,940.693,940.874,1601790900,15006226000.0
2022-03-15,934.021,939.874,895.53,895.668,1694635500,16337816000.0
2022-03-16,907.592,922.088,879.674,920.255,1552649400,15364854000.0
2022-03-17,927.283,953.448,924.702,942.541,1679595400,16324848000.0
2022-03-18,936.657,956.864,936.657,953.231,1345885400,12380388600.0
2022-03-21,956.2,991.338,954.894,986.241,1812790000,17034810000.0
2022-03-22,982.25,987.008,975.651,979.865,1790301600,18623037000.0
2022-03-23,978.018,984.232,973.846,977.24,1382692300,13645290000.0
2022-03-24,971.975,979.967,967.78,971.25,1268536720,13247341700.0
2022-03-25,969.918,999.635,966.759,985.085,1785966400,16749325000.0
2022-03-28,992.887,998.882,982.264,997.931,1876662400,19036288000.0
2022-03-29,996.867,1022.75,992.615,1010.398,2048862400,21214598000.0
2022-03-30,1006.726,1011.953,994.631,1008.784,1966229200,19298833000.0
2022-03-31,1001.174,1008.881,991.825,997.406,1689557000,16288962000.0
2022-04-01,995.383,1010.044,995.383,1006.073,1460771300,14619877000.0
2022-04-06,1007.831,1024.793,1007.273,1022.311,1612503400,16228445000.0
2022-04-07,1015.659,1020.045,990.568,990.568,1493345000,14150817000.0
2022-04-08,991.209,991.286,960.792,971.215,1439563000,13568437000.0
2022-04-11,973.713,1013.41,973.221,1001.126,2209098400,20427321000.0
2022-04-12,992.044,1024.869,980.664,1024.802,2125865200,18810288000.0
2022-04-13,1019.582,1039.46,1008.43,1016.882,2140989700,18834454000.0
2022-04-14,1014.303,1041.297,1004.725,1039.997,2190356900,19823422000.0
2022-04-15,1030.011,1057.95,1029.723,1039.391,2261771000,21009017000.0
2022-04-18,1033.397,1061.077,1032.433,1053.137,2289097400,21929887000.0
2022-04-19,1048.835,1068.487,1042.437,1062.791,2728518500,26416847000.0
2022-04-20,1053.822,1096.488,1053.244,1084.479,2955591300,28251415000.0
2022-04-21,1073.005,1073.944,1028.315,1039.047,2866587600,27297691000.0
2022-04-22,1023.919,1026.322,994.163,997.834,2408259100,22041035000.0
2022-04-25,969.811,973.503,927.101,927.101,2110136500,19317102000.0
2022-04-26,919.431,943.943,907.456,911.161,2292744400,21744343000.0
2022-04-27,891.068,918.447,871.382,918.447,2048595200,19453039000.0
2022-04-28,907.734,917.649,880.403,892.767,1733314800,16292955000.0
2022-04-29,896.085,929.399,895.907,922.078,2084609000,20137885000.0
2022-05-05,920.721,946.536,915.077,938.526,1984247500,18743695000.0
2022-05-06,917.322,931.161,912.674,920.246,1584602000,14301291000.0
2022-05-09,917.43,941.278,917.43,937.662,1418608100,13186516800.0
2022-05-10,926.197,951.286,921.44,951.286,1665248400,15076063000.0
2022-05-11,951.354,963.288,947.527,948.612,1975602100,18192936000.0
2022-05-12,941.952,957.988,940.664,954.666,1642992900,15422889000.0
2022-05-13,954.987,961.086,940.248,952.731,1566463500,14591086000.0
2022-05-16,956.066,970.065,952.02,969.889,1872485900,16449883000.0
2022-05-17,966.696,966.696,948.104,954.269,1558632500,15666705000.0
2022-05-18,952.292,968.256,950.245,960.476,1480051900,13409025800.0
2022-05-19,947.344,963.24,944.237,958.143,1517851300,16328339000.0
2022-05-20,957.565,971.788,957.565,969.147,1450313200,15482638000.0
2022-05-23,968.129,979.747,966.432,979.747,1518494100,14939048000.0
2022-05-24,978.543,978.968,955.164,957.149,1786918100,16670105000.0
2022-05-25,953.478,981.197,951.523,981.197,1506973300,14218707000.0
2022-05-26,981.623,985.214,966.317,979.993,1323184980,12444814100.0
2022-05-27,979.567,983.831,969.287,978.829,1408243800,13223153400.0
2022-05-30,983.25,991.319,978.094,983.81,1499494200,13920558000.0
2022-05-31,982.402,1001.791,978.403,1000.037,1756670600,18372145000.0
2022-06-01,996.589,1006.297,987.064,994.216,1692165000,16813189000.0
2022-06-02,989.359,989.359,974.215,985.623,1547371700,16136702000.0
2022-06-06,983.293,990.742,977.459,990.107,1404906100,16144728000.0
2022-06-07,989.966,996.206,977.678,988.515,1593726100,19222177000.0
2022-06-08,988.421,992.874,972.519,989.677,1444440800,16265733000.0
2022-06-09,988.653,992.07,969.56,973.812,1475081400,16476174000.0
2022-06-10,969.421,982.656,967.544,980.491,1541753200,17801191000.0
2022-06-13,973.948,985.502,972.965,984.133,1530722300,18432637000.0
2022-06-14,978.348,994.223,974.753,994.208,1744715400,20223058000.0
2022-06-15,996.301,1003.409,992.187,993.219,1639602300,18557707000.0
2022-06-16,994.49,1018.027,994.486,1013.103,1907518600,21663084000.0
2022-06-17,1009.489,1016.681,994.864,1008.664,1610588400,18742808000.0
2022-06-20,1008.704,1017.742,1006.682,1017.45,1460518200,18418453000.0
2022-06-21,1015.86,1019.084,997.235,1005.941,1386235500,17761355000.0
2022-06-22,1005.216,1006.136,993.942,994.138,1272197860,16044564000.0
2022-06-23,994.489,1000.403,985.762,1000.388,1227763550,13584196000.0
2022-06-24,999.516,1018.892,998.014,1018.04,1493832600,17786532000.0
