日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,443.289,447.044,443.101,446.599,1309661660,9150632200.0
2020-01-03,447.184,448.367,445.716,447.934,1110583070,7577145200.0
2020-01-06,446.852,453.937,445.855,451.873,1438987200,10382531600.0
2020-01-07,453.049,456.458,452.909,456.458,1375521100,9442390700.0
2020-01-08,454.571,457.403,449.555,451.447,1422929600,9800719200.0
2020-01-09,454.667,456.573,453.735,456.093,1219240100,8503549600.0
2020-01-10,457.115,457.591,450.722,451.932,1030120510,6970671500.0
2020-01-13,451.212,454.956,448.713,454.956,1061848140,7349440400.0
2020-01-14,455.977,458.94,455.541,456.965,1299184550,9317279100.0
2020-01-15,457.283,457.283,450.851,452.596,1053217930,7420552300.0
2020-01-16,454.061,454.061,448.557,449.323,893834280,6203996700.0
2020-01-17,450.178,450.869,447.137,448.318,863505210,6121256000.0
2020-01-20,448.039,450.203,446.167,450.203,840865500,5744089500.0
2020-01-21,448.788,448.788,442.97,442.97,921389220,6281656300.0
2020-01-22,441.407,444.585,435.199,442.993,866230900,6032328800.0
2020-01-23,439.899,441.421,426.876,430.575,1137447400,7527733100.0
2020-02-03,389.483,389.797,388.739,389.064,814232090,4098058200.0
2020-02-04,363.736,384.979,363.736,382.781,1616829600,9032512100.0
2020-02-05,383.985,395.623,383.946,390.218,1355103100,8126216600.0
2020-02-06,390.129,396.349,386.753,394.956,1219501570,7473241900.0
2020-02-07,394.121,396.869,390.728,396.865,1112975200,6890800800.0
2020-02-10,395.73,404.387,394.441,404.255,1182734970,7179591500.0
2020-02-11,404.75,406.464,402.041,403.296,1020218860,6060576700.0
2020-02-12,402.276,409.584,402.196,409.573,1122407170,7100697500.0
2020-02-13,408.467,410.574,403.827,404.207,1105769010,7310210300.0
2020-02-14,403.768,406.732,402.584,405.269,908544700,6126751500.0
2020-02-17,406.879,418.163,406.879,418.163,1255009250,8450067900.0
2020-02-18,420.06,424.998,419.12,424.998,1387852300,10065724600.0
2020-02-19,424.601,428.239,423.647,424.542,1450616000,10156109600.0
2020-02-20,425.055,432.398,424.511,432.292,1518282100,10146221700.0
2020-02-21,432.024,437.572,431.657,434.689,1617071700,11238944000.0
2020-02-24,434.649,437.631,430.506,437.311,1688563300,11786426500.0
2020-02-25,428.889,434.836,419.575,434.297,2205351400,14240319000.0
2020-02-26,430.804,441.829,429.665,435.491,2402297500,16542336000.0
2020-02-27,437.475,440.21,434.238,437.981,1801709200,12464317300.0
2020-02-28,425.385,430.134,415.551,416.066,2190311600,13155585200.0
2020-03-02,418.573,434.877,418.573,433.59,1980415600,12230747900.0
2020-03-03,439.413,442.806,433.15,436.298,2024954000,13266520100.0
2020-03-04,433.661,440.308,433.081,440.308,1566426800,10118675700.0
2020-03-05,444.351,453.605,444.06,453.544,2584040500,16861266000.0
2020-03-06,448.953,454.331,447.907,451.618,2228240400,14774199000.0
2020-03-09,444.789,447.378,437.108,437.108,2075940300,14000481000.0
2020-03-10,430.052,445.193,425.321,445.193,2215235400,15275788000.0
2020-03-11,446.986,451.329,441.883,441.883,2119915500,15659753000.0
2020-03-12,436.585,439.023,431.017,434.858,1625829900,11220064900.0
2020-03-13,415.158,433.908,413.379,432.208,2294251500,15364175000.0
2020-03-16,436.441,436.811,416.726,417.555,2010070200,13727706000.0
2020-03-17,417.853,421.857,405.294,419.398,1985679500,13779231000.0
2020-03-18,422.699,428.097,414.381,414.381,1934830200,14116196000.0
2020-03-19,412.399,419.453,407.207,418.207,1956569000,12972871300.0
2020-03-20,421.521,424.434,417.683,424.042,1713066500,12113700400.0
2020-03-23,415.12,419.599,409.062,409.996,1718631000,11188457100.0
2020-03-24,415.848,417.395,405.19,415.317,1777032600,11137137000.0
2020-03-25,421.802,422.621,418.031,422.114,1570858400,10134296900.0
2020-03-26,419.361,419.77,414.728,415.287,1312355940,8546735900.0
2020-03-27,418.462,420.075,412.897,413.164,1506926300,8726180700.0
2020-03-30,407.967,408.027,399.747,404.538,1311668050,8251804700.0
2020-03-31,407.129,407.871,402.667,403.051,1088893380,7049945700.0
2020-04-01,402.024,407.389,400.886,401.542,1283611920,6894297800.0
2020-04-02,399.443,408.77,398.896,408.77,1141915910,7169118700.0
2020-04-03,408.835,409.12,404.256,405.434,955034180,6421442700.0
2020-04-07,410.399,415.011,410.399,414.666,1263811950,7965589400.0
2020-04-08,413.486,417.032,411.923,416.469,1080567100,7944297300.0
2020-04-09,417.89,420.835,417.542,418.811,1072943970,7473227700.0
2020-04-10,418.352,418.383,409.536,410.745,1061228550,7019117500.0
2020-04-13,408.943,409.335,405.441,408.068,802950770,4790725700.0
2020-04-14,409.053,414.437,409.053,414.413,895680130,5954548200.0
2020-04-15,415.123,415.819,412.306,412.636,1096398610,7056006300.0
2020-04-16,410.661,418.341,409.871,417.781,1584700700,9337082400.0
2020-04-17,418.302,419.01,414.983,415.37,1471873400,8830640200.0
2020-04-20,415.984,417.531,414.793,417.531,1145932370,7196394300.0
2020-04-21,416.055,416.143,411.483,415.212,1200772470,7926396000.0
2020-04-22,412.586,419.725,411.5,419.679,1115687190,7658736600.0
2020-04-23,420.401,420.401,417.407,417.748,1210940630,8534297400.0
2020-04-24,417.618,418.44,411.997,413.496,1107282240,7558720300.0
2020-04-27,414.067,417.056,413.251,413.482,1056902740,7186642200.0
2020-04-28,413.146,413.641,396.65,405.33,1272498610,7888910900.0
2020-04-29,404.611,409.966,403.842,408.399,1130652780,6757822800.0
2020-04-30,409.44,417.377,409.44,416.365,1395432100,9261498100.0
2020-05-06,412.948,422.299,412.568,422.299,1421372800,9989216700.0
2020-05-07,421.886,421.891,418.84,420.891,1199412760,8884119900.0
2020-05-08,421.642,424.278,420.931,422.756,1111560270,8405142000.0
2020-05-11,423.417,424.66,420.582,422.353,1325128370,11302345500.0
2020-05-12,421.947,421.962,416.823,420.938,1107784020,8705068700.0
2020-05-13,419.757,422.514,418.62,422.293,1047065040,8029361500.0
2020-05-14,420.33,420.33,417.239,417.239,988370940,7768198300.0
2020-05-15,418.618,419.971,417.102,417.212,913634690,7449917100.0
2020-05-18,419.082,420.518,416.415,418.295,1036534640,8410680200.0
2020-05-19,420.392,421.497,419.495,421.331,995160000,8641015600.0
2020-05-20,419.692,420.731,417.537,418.686,979765040,8458672500.0
2020-05-21,418.977,419.185,413.798,414.244,1031484560,7383792200.0
2020-05-22,413.835,413.877,407.88,410.61,996328040,7605074500.0
2020-05-25,410.053,412.771,409.469,412.11,824204390,6868443200.0
2020-05-26,412.122,415.33,412.035,415.111,795814990,6402966600.0
2020-05-27,415.076,415.421,411.653,412.324,846041450,7390523800.0
2020-05-28,412.387,414.861,409.523,412.285,1052163170,8405594800.0
2020-05-29,411.567,414.256,410.667,413.229,915965700,6903193200.0
2020-06-01,414.206,421.458,414.136,421.458,1281460900,9089730600.0
2020-06-02,421.298,423.957,420.398,423.718,1294341400,8680005200.0
2020-06-03,423.678,424.311,421.479,421.499,1257501760,8585401100.0
2020-06-04,422.175,423.142,420.953,422.709,1000252410,7040075900.0
2020-06-05,422.697,423.155,420.629,422.786,1036281980,7696499900.0
2020-06-08,424.586,425.857,423.69,424.942,1256086450,9118124700.0
2020-06-09,425.577,426.997,424.544,426.997,1135914400,7812609500.0
2020-06-10,426.565,426.565,422.238,423.594,1023464030,7022963200.0
2020-06-11,423.471,426.501,421.546,422.768,1168070370,8419078900.0
2020-06-12,416.006,423.304,414.95,422.665,1291113620,9101961800.0
2020-06-15,421.118,424.218,419.859,419.859,1306941810,9530455800.0
2020-06-16,421.808,425.42,421.808,425.42,1055157270,7631483700.0
2020-06-17,425.99,427.896,424.245,427.747,1061897740,8190359000.0
2020-06-18,427.59,430.419,426.023,430.419,1251215270,8586671800.0
2020-06-19,430.346,432.749,429.951,431.561,1296337510,8867054700.0
2020-06-22,433.29,434.277,431.355,431.748,1205249570,8650483000.0
2020-06-23,431.519,431.559,428.892,429.432,1126645790,8127035400.0
2020-06-24,429.236,429.468,427.614,428.916,988539230,7443565400.0
2020-06-29,427.898,428.5,425.364,426.183,1072447550,7477187800.0
2020-06-30,427.679,430.29,427.679,429.522,1075592930,7486108300.0
2020-07-01,430.223,432.312,429.251,432.312,1338440130,9271448900.0
2020-07-02,432.345,439.358,431.802,439.358,1856803600,12320683200.0
2020-07-03,441.291,446.094,441.286,446.094,2244237700,14116624000.0
