日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,2736.505,2766.974,2722.614,2762.023,280847030,4378061700.0
2020-01-03,2759.769,2782.52,2750.266,2779.88,293919060,4365378300.0
2020-01-06,2760.617,2796.121,2751.929,2774.451,296492410,4475922400.0
2020-01-07,2775.6,2827.284,2775.6,2827.284,327521350,5005330000.0
2020-01-08,2811.896,2837.551,2778.074,2782.56,326827840,4861046100.0
2020-01-09,2807.822,2842.105,2807.804,2842.105,298513840,4442840900.0
2020-01-10,2847.077,2851.104,2815.484,2832.872,227828050,3503604100.0
2020-01-13,2839.339,2862.935,2814.712,2862.935,243213170,3720018800.0
2020-01-14,2865.625,2873.958,2849.492,2864.708,243996190,4033103900.0
2020-01-15,2851.698,2851.698,2825.448,2841.751,240950470,3574043300.0
2020-01-16,2848.805,2849.818,2821.175,2824.086,196410040,3052215800.0
2020-01-17,2830.952,2850.246,2819.657,2823.314,198901270,3409737000.0
2020-01-20,2842.173,2889.66,2830.657,2885.649,255629760,4129511800.0
2020-01-21,2898.864,2898.864,2850.448,2854.407,290953330,4514962900.0
2020-01-22,2866.594,2868.957,2800.017,2848.5,353379210,5275545400.0
2020-01-23,2833.415,2848.005,2718.194,2771.141,396174230,5806988600.0
2020-02-03,2548.561,2577.314,2546.988,2567.709,142708760,2589305900.0
2020-02-04,2421.234,2607.802,2421.234,2607.482,481608330,7152148300.0
2020-02-05,2606.063,2686.25,2599.948,2670.47,418432010,6532239400.0
2020-02-06,2677.78,2771.767,2663.336,2753.594,460784050,7137916800.0
2020-02-07,2784.014,2800.748,2728.289,2797.061,515646610,7492829200.0
2020-02-10,2794.202,2850.915,2785.469,2850.215,523738250,7085469200.0
2020-02-11,2852.786,2852.786,2768.597,2780.699,383531990,4947836700.0
2020-02-12,2770.052,2841.376,2764.876,2840.504,382011640,5185865700.0
2020-02-13,2837.3,2846.578,2793.918,2813.677,468857550,6484387700.0
2020-02-14,2798.598,2824.484,2782.456,2805.916,341606930,4735717400.0
2020-02-17,2825.096,2923.839,2825.096,2920.984,433867190,5915962900.0
2020-02-18,2935.863,2970.417,2928.293,2969.236,483990290,6729229300.0
2020-02-19,2957.885,3005.007,2940.693,2967.539,535818640,7605419300.0
2020-02-20,2972.242,2996.527,2936.462,2992.368,486497730,6972784100.0
2020-02-21,2980.038,3017.767,2974.625,2994.876,446563660,6660248300.0
2020-02-24,2989.07,3050.215,2979.722,3039.274,500135300,7347944600.0
2020-02-25,2960.696,3027.049,2908.541,3021.584,537706960,8145373200.0
2020-02-26,2973.884,3002.688,2915.034,2927.128,468903290,6600446500.0
2020-02-27,2945.328,2986.841,2892.255,2959.958,440127370,6647044400.0
2020-02-28,2868.986,2916.579,2798.825,2805.164,497185780,6888683800.0
2020-03-02,2829.698,2927.208,2809.88,2918.415,408985410,5801292100.0
2020-03-03,2955.929,3026.615,2940.766,2976.81,524831030,7224349400.0
2020-03-04,2961.493,2991.021,2913.383,2975.327,416522330,5872076600.0
2020-03-05,3000.243,3035.024,2990.593,3027.391,485450580,6885669800.0
2020-03-06,3000.586,3019.805,2988.804,2997.853,408715790,5721093600.0
2020-03-09,2941.669,2955.694,2887.311,2887.631,460230240,6441978100.0
2020-03-10,2845.982,2935.707,2794.78,2934.028,407076760,5532404900.0
2020-03-11,2940.325,2956.686,2893.844,2895.784,384196210,5307670500.0
2020-03-12,2857.53,2866.729,2826.838,2845.838,379109790,5496038200.0
2020-03-13,2696.956,2850.013,2690.355,2829.515,418430200,5895590700.0
2020-03-16,2871.82,2876.96,2722.833,2733.951,390095790,5673848800.0
2020-03-17,2778.014,2802.213,2618.194,2724.22,411487410,5657937800.0
2020-03-18,2744.275,2783.753,2677.84,2677.84,430283710,5966143800.0
2020-03-19,2669.682,2690.175,2607.739,2681.224,385233880,5135799000.0
2020-03-20,2703.383,2710.494,2657.775,2705.317,291539860,3978987600.0
2020-03-23,2640.63,2678.928,2610.986,2620.876,298319380,4057181600.0
2020-03-24,2653.158,2663.223,2586.53,2654.928,294658510,3806600400.0
2020-03-25,2705.789,2722.065,2686.021,2720.2,312068650,4052843100.0
2020-03-26,2706.655,2752.85,2692.263,2735.205,350817620,4760822400.0
2020-03-27,2763.596,2765.73,2706.251,2709.046,301334010,4124723600.0
2020-03-30,2672.023,2685.153,2643.516,2665.299,328532920,4441477900.0
2020-03-31,2682.017,2718.875,2673.293,2718.875,370427420,4754154400.0
2020-04-01,2705.482,2742.307,2690.228,2699.872,379288940,5277923100.0
2020-04-02,2680.346,2738.886,2678.923,2738.886,302127590,4049786000.0
2020-04-03,2734.27,2763.022,2724.222,2738.792,328813610,4164186900.0
2020-04-07,2778.615,2833.603,2771.933,2827.748,428074420,5614782600.0
2020-04-08,2803.431,2814.575,2783.432,2788.236,332784820,4299355200.0
2020-04-09,2802.348,2814.121,2779.159,2805.263,282608800,3610968700.0
2020-04-10,2792.311,2805.064,2734.964,2747.065,284796980,3652842100.0
2020-04-13,2737.689,2737.689,2699.235,2711.786,247596120,2970242400.0
2020-04-14,2714.815,2763.884,2707.651,2763.295,256757520,3489092100.0
2020-04-15,2771.02,2801.234,2757.806,2769.231,316389350,4230501900.0
2020-04-16,2765.239,2815.895,2759.823,2812.085,327292470,4812354300.0
2020-04-17,2828.193,2837.061,2792.813,2796.494,450642520,8180125100.0
2020-04-20,2806.834,2866.82,2806.834,2866.312,287502280,4713306300.0
2020-04-21,2873.03,2873.066,2816.716,2868.42,481784610,9237344900.0
2020-04-22,2838.481,2898.657,2833.122,2896.225,398457980,6476615300.0
2020-04-23,2929.039,2947.134,2913.521,2923.109,448701370,8709381500.0
2020-04-24,2921.208,2927.828,2839.904,2850.536,510593460,7907932500.0
2020-04-27,2834.744,2869.625,2814.022,2828.953,530345710,7403669900.0
2020-04-28,2805.288,2815.033,2682.487,2771.056,500010280,6574735900.0
2020-04-29,2756.903,2788.071,2740.961,2750.12,346034890,4815760000.0
2020-04-30,2745.308,2781.077,2727.468,2769.494,396749860,5434566400.0
2020-05-06,2737.154,2812.603,2733.995,2811.549,367904450,5010423400.0
2020-05-07,2815.942,2832.122,2803.439,2812.816,386306680,5093385200.0
2020-05-08,2820.815,2839.557,2813.813,2820.843,364790540,4733697000.0
2020-05-11,2825.964,2839.496,2813.672,2830.467,435377430,6430086000.0
2020-05-12,2822.847,2852.052,2811.806,2851.456,424953100,7097861600.0
2020-05-13,2841.346,2897.718,2839.191,2894.584,442758230,6662967000.0
2020-05-14,2876.587,2898.067,2869.203,2873.232,420338490,6373569700.0
2020-05-15,2879.074,2904.521,2876.686,2885.228,336583700,5368031800.0
2020-05-18,2903.03,2937.912,2884.592,2914.683,397376620,6228799100.0
2020-05-19,2929.55,2936.284,2907.876,2936.274,362828380,5167108000.0
2020-05-20,2935.329,2936.282,2875.741,2880.961,381369980,5565412600.0
2020-05-21,2890.296,2923.084,2884.574,2891.515,368726190,4911278300.0
2020-05-22,2881.393,2887.421,2812.059,2826.894,413212100,5152086000.0
2020-05-25,2813.486,2828.791,2793.266,2814.365,311211490,4389415000.0
2020-05-26,2812.586,2883.711,2810.369,2881.716,327322510,4551851900.0
2020-05-27,2882.394,2891.388,2849.964,2861.715,359027020,4842131100.0
2020-05-28,2856.463,2859.189,2767.125,2803.118,307399180,4009797200.0
2020-05-29,2778.918,2843.115,2772.477,2833.382,277239310,4113348700.0
2020-06-01,2842.879,2902.368,2838.347,2895.08,345374250,4809673000.0
2020-06-02,2898.584,2911.379,2885.345,2907.823,350862580,4967200100.0
2020-06-03,2905.646,2931.554,2892.296,2910.827,346019900,5164520400.0
