日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-07-04,996.269,1022.342,988.145,1018.803,369606640,4527804100.0
2022-07-05,1011.499,1020.193,987.805,1003.053,453316740,6124369700.0
2022-07-06,998.576,1007.429,988.523,1002.429,378759320,4863323600.0
2022-07-07,1003.233,1042.48,1003.147,1033.917,445935550,6130921100.0
2022-07-08,1035.048,1048.16,1018.307,1018.754,512182700,7187606100.0
2022-07-11,1012.469,1013.321,994.419,1006.898,464815910,5636674200.0
2022-07-12,1007.258,1015.601,990.524,990.752,641989760,7921427500.0
2022-07-13,986.254,1022.351,986.254,1021.524,682367910,7998295500.0
2022-07-14,1012.213,1059.955,1012.213,1049.078,795250210,9958493800.0
2022-07-15,1042.826,1055.583,1032.045,1042.518,699696230,8655939300.0
2022-07-18,1045.762,1072.202,1045.206,1072.178,707485970,8823372700.0
2022-07-19,1073.319,1084.858,1064.653,1076.959,724576140,8701275600.0
2022-07-20,1097.172,1104.878,1088.792,1096.031,634462030,7982845300.0
2022-07-21,1091.043,1124.671,1088.093,1113.399,725861410,9406806900.0
2022-07-22,1113.145,1121.657,1101.962,1113.844,706100830,8684874300.0
2022-07-25,1119.361,1119.361,1076.841,1077.722,840631660,9484902900.0
2022-07-26,1073.135,1084.067,1050.784,1084.067,797786690,8790018400.0
2022-07-27,1076.462,1109.735,1075.503,1109.735,792988600,9381965600.0
2022-07-28,1117.987,1130.93,1112.361,1129.932,979257020,11179681000.0
2022-07-29,1138.018,1159.224,1138.018,1152.352,955979120,11941040500.0
2022-08-01,1153.85,1156.138,1137.294,1156.046,811654080,9963379600.0
2022-08-02,1136.665,1136.665,1095.02,1105.337,975267120,12308255000.0
2022-08-03,1108.376,1134.736,1082.425,1086.29,1101106830,12708332600.0
2022-08-04,1093.359,1109.71,1084.0,1102.806,802608350,9169962600.0
2022-08-05,1105.799,1111.09,1078.257,1093.004,689058650,8136116200.0
2022-08-08,1087.728,1117.044,1075.007,1117.044,708953060,8710814400.0
2022-08-09,1117.588,1130.343,1113.629,1124.81,740468640,9377065100.0
2022-08-10,1122.046,1133.894,1117.597,1133.894,710751970,9084059400.0
2022-08-11,1138.925,1144.172,1123.713,1143.203,869801720,11244709100.0
2022-08-12,1142.646,1153.458,1119.6,1120.84,918243960,11453124000.0
2022-08-15,1118.581,1149.772,1117.022,1149.772,759910120,10099020500.0
2022-08-16,1149.402,1179.781,1149.402,1179.781,815851820,10248286500.0
2022-08-17,1181.711,1195.273,1177.081,1193.164,815869790,10774937000.0
2022-08-18,1195.52,1233.958,1190.539,1231.439,834401610,11987473600.0
2022-08-19,1235.862,1237.717,1197.343,1198.157,870034960,12418300500.0
2022-08-22,1205.975,1222.448,1198.434,1212.132,744609880,10566425100.0
2022-08-23,1198.845,1236.1,1198.404,1235.554,822468160,12039857200.0
2022-08-24,1235.434,1235.455,1177.771,1182.318,885890570,12201555900.0
2022-08-25,1187.666,1189.695,1126.965,1137.153,663490190,8815655200.0
2022-08-26,1145.123,1165.793,1134.047,1136.943,529686270,7357266200.0
2022-08-29,1116.685,1151.852,1111.497,1150.305,469784560,6185392900.0
2022-08-30,1147.796,1154.443,1118.035,1122.277,458139500,6707267700.0
2022-08-31,1116.696,1117.005,1050.617,1052.731,602517420,7742589200.0
2022-09-01,1057.79,1062.191,1036.792,1039.384,356020510,4551894700.0
2022-09-02,1041.006,1058.468,1029.331,1057.02,371576770,4774280100.0
2022-09-05,1058.788,1070.249,1047.433,1058.318,348653950,4717766100.0
2022-09-06,1063.141,1083.634,1049.78,1083.634,457303400,6217053100.0
2022-09-07,1075.675,1104.538,1075.383,1101.115,477552020,6509794800.0
2022-09-08,1101.906,1112.248,1083.39,1085.067,425739840,5421090300.0
2022-09-09,1085.416,1086.174,1057.478,1069.339,318106090,4215592900.0
2022-09-13,1072.609,1079.339,1057.9,1063.744,287269590,3787464700.0
2022-09-14,1045.567,1062.575,1036.808,1049.736,323461470,3836410300.0
2022-09-15,1056.353,1057.476,984.339,998.179,542260580,6354554000.0
2022-09-16,994.734,1001.929,971.069,971.069,315733810,3692589300.0
2022-09-19,970.805,975.729,946.758,952.817,294659130,3523030300.0
2022-09-20,961.464,990.746,961.464,983.301,278523400,3514956900.0
2022-09-21,981.886,986.238,965.295,982.188,292092150,3310035900.0
2022-09-22,975.837,994.551,969.756,980.123,254168420,3179035400.0
2022-09-23,980.461,986.131,945.677,954.831,266707030,3183053600.0
2022-09-26,951.215,969.044,946.849,949.91,257228450,3314767200.0
2022-09-27,953.257,969.475,948.401,967.939,239147830,2931394800.0
2022-09-28,965.869,968.119,931.956,931.956,325645390,3707798800.0
2022-09-29,941.64,944.622,924.215,929.914,262509200,3182641800.0
2022-09-30,928.543,935.564,911.532,911.532,247010960,2883159700.0
2022-10-10,915.882,922.049,887.954,892.187,233760090,2520586800.0
2022-10-11,897.239,918.55,895.083,913.49,234195680,2807402700.0
2022-10-12,915.146,954.416,904.198,954.416,404790010,5054215500.0
2022-10-13,951.366,974.128,946.905,962.989,430634330,5545108000.0
2022-10-14,968.984,990.854,965.946,985.783,460133910,5912754900.0
2022-10-17,980.691,996.831,977.971,996.692,420019530,5174458300.0
2022-10-18,1003.06,1021.006,995.581,1010.492,421784940,5626210000.0
2022-10-19,1005.854,1031.881,1004.078,1016.644,426245680,5777861700.0
2022-10-20,1008.858,1019.609,988.394,1008.681,405817740,5211547600.0
2022-10-21,1010.315,1024.774,1002.192,1015.283,338988830,4396817800.0
2022-10-24,1016.962,1028.931,1003.83,1010.247,381582320,5162649300.0
2022-10-25,1002.629,1019.344,986.501,1012.583,397115100,5235152500.0
2022-10-26,1010.292,1035.554,1004.492,1035.461,479333670,6503313800.0
2022-10-27,1036.279,1045.015,1017.664,1018.774,427241750,6022481000.0
2022-10-28,1012.97,1016.261,966.947,970.446,431333670,5754100200.0
2022-10-31,965.833,998.55,965.127,988.178,351243940,4897399900.0
2022-11-01,997.702,1045.848,997.702,1045.848,515596130,7394786100.0
2022-11-02,1040.607,1061.013,1038.943,1055.471,464579750,6772306100.0
2022-11-03,1046.356,1064.768,1045.382,1058.653,376513520,5513524600.0
2022-11-04,1061.793,1084.281,1061.389,1083.541,467841480,6922986400.0
2022-11-07,1083.946,1089.871,1071.149,1084.913,423648390,6140932600.0
2022-11-08,1084.878,1084.878,1064.661,1073.466,325003260,4417573500.0
2022-11-09,1073.264,1081.638,1067.154,1072.033,299202110,4092905200.0
2022-11-10,1067.302,1075.022,1060.107,1065.754,419744800,5492097000.0
2022-11-11,1088.819,1092.847,1054.887,1054.985,469937210,6294338900.0
2022-11-14,1053.596,1058.617,1036.05,1040.014,354006910,4723814500.0
2022-11-15,1039.009,1068.77,1035.793,1068.688,386732190,4942047900.0
2022-11-16,1067.431,1074.834,1055.673,1059.702,368688890,4429017000.0
2022-11-17,1057.769,1059.122,1042.649,1056.094,315438500,3822368800.0
2022-11-18,1057.224,1075.183,1054.882,1059.521,494560870,6087054700.0
2022-11-21,1053.604,1076.973,1048.284,1076.762,480755380,5911871000.0
2022-11-22,1075.168,1077.403,1052.722,1057.064,469677580,5218011800.0
2022-11-23,1056.281,1067.399,1029.793,1064.861,454035580,5935363700.0
2022-11-24,1067.02,1074.099,1060.765,1069.714,383707220,4783528000.0
2022-11-25,1063.629,1063.942,1040.586,1040.876,320664540,4052819700.0
2022-11-28,1028.401,1044.356,1025.014,1041.164,420681880,4469979400.0
2022-11-29,1038.665,1048.237,1036.985,1045.939,354228800,3879901300.0
2022-11-30,1045.11,1051.526,1036.103,1042.762,308407630,3794080100.0
2022-12-01,1052.709,1058.989,1045.005,1046.652,291365940,3808818300.0
2022-12-02,1045.238,1062.708,1042.697,1060.473,289244600,3729185800.0
2022-12-05,1060.95,1063.838,1053.189,1060.487,333522500,4083616500.0
2022-12-06,1057.636,1059.952,1044.875,1054.699,350865670,3937340000.0
2022-12-07,1054.044,1062.458,1046.495,1049.99,311191540,3704190900.0
2022-12-08,1048.305,1056.174,1041.074,1047.503,394622510,5203765800.0
2022-12-09,1046.451,1048.271,1031.948,1033.596,330432460,4605629000.0
2022-12-12,1029.297,1030.283,1016.503,1024.55,257761580,3288659200.0
2022-12-13,1024.954,1027.328,1009.216,1009.896,223323520,2755749400.0
2022-12-14,1008.646,1015.21,1002.029,1004.08,187114220,2278505000.0
2022-12-15,1007.589,1026.157,1003.908,1026.157,234363430,3039310500.0
2022-12-16,1019.375,1022.462,997.466,998.704,225362690,2899442000.0
2022-12-19,998.113,1002.984,980.799,984.339,215140210,2663947800.0
2022-12-20,983.219,994.312,979.995,990.685,181259670,2245529000.0
2022-12-21,988.756,989.388,965.257,968.849,176180160,2177620100.0
2022-12-22,973.272,973.398,947.642,949.756,238437290,2881253600.0
