日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-11-14,1040.003,1043.41,1003.506,1016.855,419212520,4066407500.0
2022-11-15,1015.792,1017.692,995.369,1011.467,307598520,2899086900.0
2022-11-16,1008.392,1045.581,1007.88,1034.182,289896410,2826495500.0
2022-11-17,1029.91,1053.127,1027.344,1051.134,270222970,2580049900.0
2022-11-18,1044.603,1071.912,1044.603,1053.459,278542720,2847535100.0
2022-11-21,1048.46,1053.35,1036.365,1039.665,244771420,2414653200.0
2022-11-22,1038.675,1055.663,1019.861,1024.013,242546790,2411883400.0
2022-11-23,1026.589,1031.487,995.555,1014.774,268988930,2578933700.0
2022-11-24,1022.572,1041.611,1017.253,1037.713,253039020,2542206500.0
2022-11-25,1032.725,1032.817,1009.094,1018.568,271227490,2694931000.0
2022-11-28,1004.618,1023.922,994.954,1003.289,284875970,2644677100.0
2022-11-29,997.771,1044.922,996.509,1040.642,319269880,3050123100.0
2022-11-30,1037.85,1040.199,1014.138,1024.356,237583910,2263905500.0
2022-12-01,1033.304,1035.22,1008.566,1018.592,257136280,2548195200.0
2022-12-02,1017.234,1041.259,1015.7,1035.798,236078930,2474213200.0
2022-12-05,1041.68,1055.374,1025.845,1034.022,283678510,2846685300.0
2022-12-06,1025.62,1033.285,1014.865,1017.13,215831970,2166823300.0
2022-12-07,1013.478,1038.736,1006.409,1038.243,231700320,2157446200.0
2022-12-08,1036.674,1040.771,1016.508,1021.405,200874050,1890616500.0
2022-12-09,1016.145,1037.388,1009.303,1031.635,262255480,2225758900.0
2022-12-12,1036.619,1039.73,1030.75,1036.282,231478020,2034858800.0
2022-12-13,1036.3,1036.575,1007.887,1021.994,248587870,2392545400.0
2022-12-14,1019.729,1019.729,996.196,1003.937,247182130,2384799000.0
2022-12-15,999.871,1009.199,987.941,994.227,161173140,1501140900.0
2022-12-16,988.905,997.477,987.003,991.863,141296530,1273110050.0
2022-12-19,1004.742,1015.871,968.233,971.119,278896700,2160333200.0
2022-12-20,970.227,974.493,956.529,966.934,255552960,1750997900.0
2022-12-21,963.529,964.615,941.289,953.444,192213490,1190558510.0
2022-12-22,956.748,967.987,943.011,949.877,222384560,1754907300.0
2022-12-23,941.184,957.994,939.931,955.929,170248670,1408197700.0
2022-12-26,957.305,957.526,942.081,947.833,141614800,1151905750.0
2022-12-27,946.724,951.136,928.205,949.626,173884330,1367860800.0
2022-12-28,944.046,954.586,938.784,941.897,163258410,1399269600.0
2022-12-29,940.509,959.472,937.65,951.229,181603190,1391311200.0
2022-12-30,956.322,957.5,942.256,945.551,121879619,956101850.0
2023-01-03,947.65,975.828,947.65,974.99,175058090,1426066600.0
2023-01-04,972.031,976.927,966.277,971.306,233679960,1586168400.0
2023-01-05,969.348,981.947,961.376,980.433,212391900,1647445400.0
2023-01-06,977.396,984.2,970.683,972.246,224100480,1846522500.0
2023-01-09,971.668,980.773,971.305,976.613,180486330,1478949800.0
2023-01-10,977.543,977.543,967.315,971.853,137350330,1108205130.0
2023-01-11,971.109,978.46,966.535,967.218,176735450,1268478270.0
2023-01-12,967.646,978.876,964.177,966.624,204368830,1449987100.0
2023-01-13,967.961,989.784,965.561,989.446,208225190,1803665100.0
2023-01-16,991.592,1009.66,991.592,1004.142,235824840,2081330200.0
2023-01-17,1003.473,1003.473,985.217,988.205,180429800,1541043600.0
2023-01-18,989.086,992.326,985.031,987.484,148115540,1197306420.0
2023-01-19,985.969,992.072,977.371,986.846,145363010,1181585130.0
2023-01-20,990.703,1003.719,990.506,996.041,132092348,1166955090.0
2023-01-30,1004.462,1010.66,995.51,999.969,245448850,2256670000.0
2023-01-31,1000.542,1004.702,991.438,995.618,232189820,2175234600.0
2023-02-01,997.319,1001.707,985.641,1001.707,215063310,1989846800.0
2023-02-02,1003.164,1011.171,998.705,1006.477,219375930,2088285900.0
2023-02-03,1005.914,1006.168,988.107,996.758,182619430,1702496500.0
2023-02-06,996.751,1001.375,990.881,993.52,201904400,1895915100.0
2023-02-07,991.314,993.711,985.457,991.921,258262660,2479905200.0
2023-02-08,990.365,1002.283,990.365,993.496,141965810,1257987600.0
2023-02-09,988.396,1000.275,988.396,998.677,105679828,897317400.0
2023-02-10,1003.542,1008.397,1000.993,1007.322,180448770,1520941300.0
2023-02-13,1010.514,1028.303,1009.012,1020.946,176246710,1622406100.0
2023-02-14,1025.423,1026.867,1018.053,1023.634,125974226,1200999340.0
2023-02-15,1023.86,1026.746,1016.67,1020.654,127084718,1253075680.0
2023-02-16,1020.83,1031.026,997.275,1004.005,165939580,1405565700.0
2023-02-17,1001.926,1014.373,1000.733,1001.635,124772170,1046079520.0
2023-02-20,1002.683,1009.227,989.208,1008.444,119185073,979552650.0
2023-02-21,1009.294,1014.507,1003.493,1010.473,88978648,739262750.0
2023-02-22,1008.539,1024.529,1004.298,1020.28,125302561,1054243600.0
2023-02-23,1023.757,1026.707,1009.712,1016.815,162287520,1349858900.0
2023-02-24,1017.129,1017.129,1002.348,1006.722,98455524,810789050.0
2023-02-27,1004.642,1007.3,993.834,994.533,103488304,950425470.0
2023-02-28,996.732,1015.836,995.019,1014.942,133107951,1076594330.0
2023-03-01,1021.244,1021.752,1007.39,1012.036,171673970,1540817200.0
2023-03-02,1010.048,1010.284,995.35,996.931,118946690,1037149010.0
2023-03-03,1000.052,1006.46,995.32,998.953,116724566,1012107700.0
2023-03-06,1000.277,1006.905,993.965,1002.772,158919670,1365132600.0
2023-03-07,1001.472,1002.253,971.069,971.585,130326569,1108479910.0
2023-03-08,969.59,975.851,967.536,972.927,79844562,684880720.0
2023-03-09,973.976,977.605,968.98,972.027,84366289,770014010.0
2023-03-10,966.978,974.865,958.187,968.994,115869452,1020235730.0
2023-03-13,965.984,971.362,958.774,967.412,92871071,834524120.0
2023-03-14,966.326,966.432,940.012,948.334,102937596,882399170.0
2023-03-15,950.136,963.251,949.919,956.297,94374758,824519020.0
2023-03-16,953.513,964.208,946.319,947.637,86087955,767068990.0
2023-03-17,951.712,953.427,938.082,939.24,107832957,957821370.0
2023-03-20,941.314,941.314,918.23,919.898,139010110,1243837730.0
2023-03-21,922.777,937.917,921.038,937.321,93232921,787310080.0
2023-03-22,935.69,950.241,935.69,940.722,88571038,739816240.0
2023-03-23,938.321,942.873,933.084,939.289,75828937,622382040.0
2023-03-24,944.237,951.238,932.191,933.069,103522384,838650590.0
2023-03-27,932.175,938.46,926.79,934.279,81137187,667703660.0
2023-03-28,937.917,938.132,927.331,928.417,82895872,694306820.0
2023-03-29,930.163,930.255,913.348,916.385,87641695,716548170.0
2023-03-30,916.288,916.288,902.203,905.646,84229421,704239460.0
2023-03-31,907.114,923.544,907.114,923.23,89284285,771788830.0
2023-04-03,922.501,931.091,919.879,925.276,74248748,655027580.0
2023-04-04,923.535,923.535,902.752,906.675,78777548,690523630.0
2023-04-06,907.986,910.149,901.825,904.22,72953543,609720210.0
2023-04-07,904.049,930.915,904.049,930.65,135706240,1245178690.0
2023-04-10,931.246,931.508,919.681,922.559,149268840,1461053000.0
2023-04-11,922.465,924.606,915.288,921.284,76756550,734930780.0
2023-04-12,922.017,927.473,915.746,921.138,67229619,618045190.0
2023-04-13,919.586,927.34,910.668,926.036,71046941,610633770.0
2023-04-14,927.599,940.742,923.97,925.088,73782215,632319180.0
2023-04-17,926.017,931.523,921.275,930.883,83796322,767952280.0
2023-04-18,930.478,931.429,920.67,924.985,85572772,777459880.0
2023-04-19,927.689,927.689,903.42,905.618,110395728,1042710240.0
2023-04-20,903.304,903.304,888.471,892.909,88601464,750903770.0
2023-04-21,893.544,899.341,878.005,878.467,72098949,580534810.0
2023-04-24,876.045,879.263,866.094,872.165,71456114,558763730.0
2023-04-25,873.32,873.497,840.642,852.632,67273633,512310790.0
2023-04-26,849.14,876.624,849.14,873.794,73143835,613634070.0
2023-04-27,876.887,903.31,876.497,898.43,82312565,745720320.0
2023-04-28,904.449,924.24,904.449,922.162,105205488,1042139070.0
2023-05-04,918.029,938.085,918.029,935.438,114127392,1036884300.0
2023-05-05,938.586,938.586,920.408,928.449,81570089,730097940.0
2023-05-08,932.325,934.671,918.705,924.473,65595470,535230490.0
2023-05-09,923.079,925.081,906.42,906.942,82434622,709137690.0
2023-05-10,905.977,914.036,901.679,912.801,56163262,484799770.0
2023-05-11,913.53,920.397,910.879,915.343,71338963,626714620.0
2023-05-12,915.192,918.341,909.63,912.486,51102044,421382950.0
2023-05-15,910.253,926.173,907.031,925.041,70033218,601144140.0
2023-05-16,926.173,926.173,917.154,920.758,75124656,647167570.0
2023-05-17,918.68,922.174,908.826,921.714,82462669,710877240.0
2023-05-18,924.482,927.335,917.407,922.21,58513800,488348370.0
2023-05-19,920.356,925.697,911.42,923.923,56684706,474542320.0
2023-05-22,926.309,935.132,924.878,932.809,77599108,676786470.0
2023-05-23,930.985,937.76,925.521,925.608,72484478,596718310.0
2023-05-24,921.704,925.728,917.343,919.174,55766494,474223650.0
2023-05-25,918.163,918.939,900.892,911.566,63838133,536288660.0
2023-05-26,915.661,930.264,907.867,929.747,134671240,1055757820.0
2023-05-29,940.965,945.914,934.189,936.591,46216985,374460240.0
2023-05-30,948.703,953.37,939.789,951.711,55670187,455144650.0
2023-05-31,966.318,970.379,952.076,955.143,71098082,664597490.0
2023-06-01,966.585,981.821,963.118,971.287,66433652,570686670.0
2023-06-02,981.467,983.797,972.819,973.251,230361330,2694592100.0
2023-06-05,961.635,981.034,959.328,975.645,194063550,2167996900.0
2023-06-06,979.347,979.347,964.539,965.792,233471460,2335144700.0
2023-06-07,962.911,990.291,962.911,982.368,265598660,2751841700.0
2023-06-08,979.496,979.546,956.132,960.196,229842980,2272681100.0
2023-06-09,954.536,962.006,948.965,950.723,185304590,1751693000.0
2023-06-12,954.849,954.94,932.784,936.561,200589950,1733395100.0
2023-06-13,934.705,947.079,930.838,944.993,215492340,1827403800.0
2023-06-14,947.38,966.347,947.38,960.196,218774470,1887380700.0
2023-06-15,972.249,972.249,954.813,962.098,252719110,2136641400.0
2023-06-16,962.132,974.106,957.767,965.232,209416940,1803914400.0
2023-06-19,961.652,968.222,956.939,957.77,225810110,2004183300.0
2023-06-20,957.618,963.609,947.113,959.331,222278980,2020634600.0
2023-06-21,953.721,959.91,934.579,935.164,197502430,1646042500.0
2023-06-26,927.42,934.86,920.76,923.826,153196470,1222511300.0
2023-06-27,927.666,944.597,926.187,943.224,126114646,993078890.0
2023-06-28,944.397,944.836,928.083,941.891,117506577,924261850.0
2023-06-29,940.195,962.102,940.195,956.089,142510540,1223837500.0
2023-06-30,957.749,977.12,956.285,971.343,137068170,1138424990.0
2023-07-03,977.788,981.638,966.677,978.698,140576870,1193896250.0
