日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1630.794,1648.503,1627.124,1647.394,1273753340,9900903200.0
2020-01-03,1648.064,1655.81,1641.669,1655.05,941601950,7476579000.0
2020-01-06,1652.646,1681.667,1647.272,1671.513,1141710400,9223144700.0
2020-01-07,1679.427,1693.485,1676.585,1693.485,1020359200,7812345000.0
2020-01-08,1693.437,1704.152,1672.973,1677.705,1180530390,9323191900.0
2020-01-09,1693.39,1702.99,1691.214,1699.876,1034533840,7872063600.0
2020-01-10,1707.948,1709.369,1693.351,1700.073,846053320,6924650400.0
2020-01-13,1701.964,1717.896,1689.694,1717.896,898308990,7885686400.0
2020-01-14,1723.867,1734.888,1721.146,1721.783,1016306600,8263346600.0
2020-01-15,1723.664,1725.233,1703.875,1712.356,937290760,7893832600.0
2020-01-16,1714.551,1715.585,1695.629,1697.808,932453270,7579608600.0
2020-01-17,1699.396,1702.931,1683.212,1687.59,941496810,7936663600.0
2020-01-20,1678.657,1700.091,1673.459,1699.872,841514840,7396045700.0
2020-01-21,1698.37,1698.37,1677.356,1678.293,807363840,6763706200.0
2020-01-22,1673.591,1692.724,1651.331,1684.553,1383689500,11402546200.0
2020-01-23,1666.214,1675.835,1614.781,1628.774,1484146900,11534426200.0
2020-02-03,1465.322,1470.385,1463.543,1465.051,1060173360,6953308500.0
2020-02-04,1378.208,1462.348,1378.208,1458.228,1722316700,12046642600.0
2020-02-05,1461.639,1511.741,1461.639,1491.17,1624186700,12188643800.0
2020-02-06,1492.404,1523.528,1481.13,1518.321,1429368800,10769966200.0
2020-02-07,1521.727,1539.557,1508.193,1539.253,1465928400,11584311500.0
2020-02-10,1537.949,1581.632,1532.845,1581.632,1586263800,13020906900.0
2020-02-11,1582.485,1583.07,1565.032,1566.443,1228801560,9815741600.0
2020-02-12,1565.205,1593.998,1564.139,1591.467,1103640590,8991211800.0
2020-02-13,1592.7,1599.555,1574.09,1578.468,1196563790,9914896700.0
2020-02-14,1573.691,1590.851,1571.311,1587.572,1080232800,9015609200.0
2020-02-17,1593.583,1638.194,1593.547,1638.194,1368726200,11056807100.0
2020-02-18,1637.15,1657.08,1629.832,1657.08,1555783200,12603910300.0
2020-02-19,1654.989,1685.689,1651.199,1667.462,1558885000,12925609700.0
2020-02-20,1666.733,1696.818,1661.569,1696.725,1524599400,12358949000.0
2020-02-21,1691.872,1719.31,1690.419,1710.312,1514102100,13027357000.0
2020-02-24,1712.028,1739.293,1704.463,1734.524,1599467400,13688244000.0
2020-02-25,1699.468,1737.823,1665.234,1736.218,1853915100,15665532000.0
2020-02-26,1711.486,1776.678,1709.727,1736.964,2776151500,21659967000.0
2020-02-27,1741.774,1750.564,1716.927,1732.52,1774153900,14529032000.0
