日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-06-03,1015.997,1025.21,980.2,981.432,278485020,5559231500.0
2021-06-04,965.534,984.848,960.187,961.031,208462080,4100259000.0
2021-06-07,968.864,1086.216,968.864,1085.537,347909330,7739005300.0
2021-06-08,1114.258,1185.647,1098.997,1138.918,568900700,13234370300.0
2021-06-09,1136.54,1240.339,1136.54,1213.19,514839860,12030094400.0
2021-06-10,1217.116,1378.652,1217.116,1359.875,623219880,16929430000.0
2021-06-11,1397.968,1475.993,1371.462,1450.23,658520340,21073896000.0
2021-06-15,1419.563,1452.972,1349.856,1355.739,640719770,21036679000.0
2021-06-16,1330.149,1448.658,1301.742,1401.636,546978030,16859220000.0
2021-06-17,1372.246,1513.481,1369.369,1479.257,661081070,20539740000.0
2021-06-18,1437.197,1497.336,1431.059,1435.636,360862890,9063088900.0
2021-06-21,1426.23,1541.727,1426.23,1518.513,364299890,9535585200.0
2021-06-22,1507.659,1553.647,1469.725,1484.01,471917690,13627022000.0
2021-06-23,1477.099,1534.071,1439.203,1521.229,376942710,10875678000.0
2021-06-24,1501.226,1530.521,1444.646,1444.646,318787630,9697535300.0
2021-06-25,1425.33,1478.594,1373.676,1373.676,540598910,19410837000.0
2021-06-28,1361.161,1434.146,1359.129,1408.899,418373200,15354425000.0
2021-06-29,1410.512,1459.265,1392.872,1399.868,434069050,15312575000.0
2021-06-30,1414.487,1451.403,1407.636,1426.836,509060560,14450989000.0
2021-07-01,1433.286,1433.653,1340.021,1343.492,519409050,15468234000.0
2021-07-02,1342.093,1396.375,1330.137,1379.515,525581040,14824446000.0
2021-07-05,1386.712,1409.909,1374.927,1402.844,410132550,11867894200.0
2021-07-06,1407.33,1493.467,1399.905,1435.66,562402630,19186238000.0
2021-07-07,1392.873,1431.011,1367.962,1422.353,415976090,13366345300.0
2021-07-08,1432.499,1474.937,1420.019,1445.088,424897260,14397288000.0
2021-07-09,1418.008,1439.728,1395.471,1421.528,365271290,12623894300.0
2021-07-12,1421.742,1494.82,1403.711,1480.659,489237930,16920397000.0
2021-07-13,1471.242,1496.506,1430.143,1452.473,436139870,15980644000.0
2021-07-14,1447.649,1482.459,1429.557,1433.598,430014600,15551733000.0
2021-07-15,1428.947,1441.386,1391.892,1408.567,403742950,12380302200.0
2021-07-16,1412.239,1478.083,1412.239,1417.724,440788430,15216312000.0
2021-07-19,1403.536,1431.798,1387.26,1390.331,444479160,14182661000.0
2021-07-20,1384.117,1405.118,1370.475,1405.118,282585420,8816323400.0
2021-07-21,1413.897,1483.851,1408.669,1472.461,354020380,11963273600.0
2021-07-22,1484.985,1494.257,1467.598,1480.832,333384860,11476134700.0
2021-07-23,1474.096,1481.127,1411.278,1414.033,336661820,12196851500.0
2021-07-26,1401.295,1429.288,1349.27,1376.47,350370220,11475255100.0
2021-07-27,1394.465,1439.59,1378.645,1384.904,392427080,12531761600.0
2021-07-28,1367.4,1371.207,1286.875,1299.721,327599010,9863551000.0
2021-07-29,1328.032,1378.593,1328.032,1356.62,303041470,9297684900.0
2021-07-30,1377.649,1467.382,1368.941,1446.61,458526520,15492708000.0
2021-08-02,1430.902,1432.946,1390.89,1424.835,356721340,11074017600.0
2021-08-03,1425.939,1463.921,1405.895,1412.121,301107010,9513511400.0
2021-08-04,1399.121,1437.572,1398.426,1437.572,289914200,9319302800.0
2021-08-05,1424.927,1429.821,1391.096,1408.696,318338150,9772072600.0
2021-08-06,1417.561,1445.097,1398.966,1415.3,306406000,10135311100.0
2021-08-09,1413.956,1437.277,1381.055,1433.004,312621650,9639283700.0
2021-08-10,1440.846,1449.014,1408.697,1423.39,297632910,9345743000.0
2021-08-11,1418.4,1419.791,1396.44,1403.266,242386670,7136437700.0
2021-08-12,1410.177,1466.202,1408.965,1420.916,270864300,8239607900.0
2021-08-13,1402.08,1402.711,1362.152,1366.663,239604640,7161035700.0
2021-08-16,1358.648,1367.747,1341.14,1349.028,190419400,6012989200.0
2021-08-17,1353.311,1355.123,1301.267,1302.887,233534130,7096610200.0
2021-08-18,1307.605,1320.873,1286.151,1318.854,199089700,5430279200.0
2021-08-19,1324.922,1352.041,1318.669,1337.209,198451970,5776662800.0
2021-08-20,1337.599,1350.641,1311.745,1320.919,178722120,5190702400.0
2021-08-23,1321.441,1356.733,1321.371,1353.798,192558490,5524672800.0
2021-08-24,1354.332,1370.451,1336.17,1364.36,219257780,6275209700.0
2021-08-25,1359.852,1364.836,1339.811,1344.524,210704430,5825761800.0
2021-08-26,1337.819,1342.427,1299.008,1299.576,221210270,6283895900.0
2021-08-27,1300.325,1304.369,1288.377,1291.59,192612980,5081452300.0
2021-08-30,1303.334,1317.876,1283.291,1289.121,184932520,4979583100.0
2021-08-31,1282.306,1301.916,1265.685,1272.317,234089440,6579386400.0
2021-09-01,1267.538,1268.242,1214.741,1245.923,245720530,5976234200.0
2021-09-02,1244.321,1249.076,1229.64,1246.078,208951770,4795773900.0
2021-09-03,1249.519,1272.352,1230.19,1255.238,303934450,6875667500.0
2021-09-06,1242.873,1285.851,1232.126,1285.102,243109710,5716998800.0
2021-09-07,1281.935,1315.039,1281.935,1288.556,217975170,5644299500.0
2021-09-08,1289.025,1300.375,1272.45,1283.868,263041000,6746223200.0
2021-09-09,1278.027,1278.027,1254.493,1257.052,215626370,5777616000.0
2021-09-10,1252.012,1270.641,1239.766,1256.227,200997030,5227260100.0
2021-09-13,1249.678,1249.678,1220.572,1223.623,184788080,4789562300.0
2021-09-14,1234.996,1364.092,1234.869,1344.719,433896390,11510161300.0
2021-09-15,1349.246,1349.246,1283.386,1286.528,505519490,13062157400.0
2021-09-16,1277.851,1290.911,1237.9,1254.014,366666070,8364501100.0
2021-09-17,1258.181,1261.295,1200.399,1223.942,275358240,6346787900.0
2021-09-22,1199.36,1214.312,1193.992,1207.731,178550400,4032230100.0
2021-09-23,1209.661,1292.018,1209.404,1266.743,339237680,8420647000.0
2021-09-24,1273.3,1322.032,1273.3,1283.745,371337530,9915777200.0
2021-09-27,1329.408,1382.288,1284.612,1287.502,398763700,11129298200.0
2021-09-28,1270.654,1293.069,1235.075,1261.215,266235010,6839976400.0
2021-09-29,1248.845,1248.845,1188.812,1188.812,231391450,5812160700.0
2021-09-30,1204.581,1256.645,1204.581,1251.055,216387540,6250328700.0
2021-10-08,1266.691,1289.021,1263.509,1275.677,226261170,6278783600.0
2021-10-11,1274.239,1289.453,1262.045,1277.623,232885030,5241444800.0
2021-10-12,1274.295,1275.316,1218.836,1231.664,200644560,4917916000.0
2021-10-13,1245.323,1261.166,1238.725,1260.228,157585450,3807838900.0
2021-10-14,1263.308,1278.249,1257.635,1272.789,185595850,4585448500.0
2021-10-15,1268.639,1286.651,1257.767,1270.377,239763860,5562739600.0
2021-10-18,1267.515,1267.515,1249.84,1260.719,192102730,5108408400.0
2021-10-19,1268.206,1327.564,1265.644,1325.102,328846710,7819318800.0
2021-10-20,1327.251,1340.57,1306.544,1326.219,351431270,8593920300.0
2021-10-21,1318.506,1330.371,1303.787,1310.233,247552800,6289454700.0
2021-10-22,1319.935,1326.731,1299.029,1300.745,264630150,6559768500.0
2021-10-25,1283.811,1293.449,1267.424,1290.076,259290810,6040999000.0
2021-10-26,1283.926,1290.681,1269.919,1275.506,210635870,5461012500.0
2021-10-27,1267.977,1270.601,1235.867,1239.693,176972400,4119053300.0
2021-10-28,1236.094,1286.669,1218.661,1245.424,257244200,7688448600.0
2021-10-29,1239.347,1260.967,1238.491,1257.263,186253480,6099640200.0
2021-11-01,1258.566,1281.685,1248.76,1274.767,178424400,5608515900.0
2021-11-02,1269.88,1285.935,1243.619,1249.561,190732400,5297750100.0
2021-11-03,1250.033,1273.4,1250.033,1265.521,160690020,5035604600.0
2021-11-04,1273.345,1295.891,1273.345,1289.054,191371880,6551706200.0
2021-11-05,1288.203,1343.986,1287.54,1326.957,307663090,9259483800.0
2021-11-08,1322.513,1322.513,1296.681,1308.958,222771560,6606306600.0
2021-11-09,1312.87,1334.263,1306.694,1319.861,268492780,7775026100.0
2021-11-10,1328.462,1341.042,1317.107,1324.258,218247260,6122115100.0
2021-11-11,1318.506,1342.705,1308.433,1331.14,210001070,6287294400.0
2021-11-12,1329.89,1351.265,1328.299,1337.68,209510020,6364308800.0
2021-11-15,1336.544,1376.41,1336.544,1362.68,232559990,6304477300.0
2021-11-16,1359.725,1365.14,1322.09,1323.967,195493590,5358986500.0
