日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1387.697,1405.153,1386.791,1404.577,1894578700,13422837000.0
2020-01-03,1409.544,1442.096,1405.399,1437.935,2264145400,17254477000.0
2020-01-06,1468.881,1499.689,1460.213,1496.42,3379515600,26424387000.0
2020-01-07,1475.331,1479.22,1468.659,1476.84,2452775400,18768638000.0
2020-01-08,1507.227,1518.378,1484.042,1515.972,3342490500,28061608000.0
2020-01-09,1465.42,1481.373,1465.032,1469.887,2586211700,20398832000.0
2020-01-10,1462.856,1462.984,1447.293,1454.14,1765192700,13005444200.0
2020-01-13,1450.39,1450.706,1436.77,1449.006,1200841860,9182651900.0
2020-01-14,1445.618,1463.888,1443.305,1456.888,2002735400,14331722000.0
2020-01-15,1453.526,1453.529,1436.797,1437.625,1441697400,10663275600.0
2020-01-16,1441.254,1442.909,1419.378,1419.378,1103962980,8348210100.0
2020-01-17,1420.464,1425.025,1419.09,1420.898,1009721830,7411226600.0
2020-01-20,1416.222,1419.347,1405.966,1418.934,966457300,6786657800.0
2020-01-21,1413.574,1413.574,1395.88,1398.087,1208178580,8813001800.0
2020-01-22,1373.543,1376.5,1355.5,1370.946,1145669410,8457616200.0
2020-01-23,1353.557,1361.427,1315.179,1326.423,1422519400,8769795000.0
2020-02-03,1207.597,1228.933,1207.597,1211.131,1300248640,9174481700.0
2020-02-04,1152.081,1193.153,1152.081,1191.668,1575604000,9105592600.0
2020-02-05,1187.974,1233.435,1187.939,1219.587,1779969300,11433149500.0
2020-02-06,1215.069,1234.697,1206.104,1230.396,1593953700,10160239300.0
2020-02-07,1227.516,1245.55,1224.101,1236.479,1375821600,9067186900.0
2020-02-10,1232.101,1273.026,1228.465,1272.394,1729283900,11210001700.0
2020-02-11,1265.906,1278.305,1262.456,1264.674,1685888600,10486015900.0
2020-02-12,1260.255,1282.022,1258.957,1282.002,1552779600,9583358400.0
2020-02-13,1281.315,1292.65,1276.077,1289.828,2216005500,14863639000.0
2020-02-14,1283.904,1301.098,1281.301,1290.948,2230433900,14361058000.0
2020-02-17,1292.038,1316.716,1291.966,1316.514,1799143800,12285391800.0
2020-02-18,1318.215,1348.931,1316.261,1345.153,2129167500,15341322000.0
2020-02-19,1360.174,1372.285,1344.896,1360.988,2974483400,20912340000.0
2020-02-20,1354.451,1364.409,1351.332,1363.762,2098008200,15218670000.0
2020-02-21,1368.323,1404.78,1368.071,1396.236,2516448400,19431904000.0
2020-02-24,1420.767,1423.098,1388.716,1407.916,2692293200,21881299000.0
2020-02-25,1370.012,1402.46,1365.27,1391.058,3171215700,25060824000.0
2020-02-26,1365.846,1378.051,1353.633,1356.228,2304665100,17701285000.0
2020-02-27,1360.095,1366.755,1352.429,1363.647,1625508700,12423866300.0
2020-02-28,1326.194,1335.497,1282.909,1284.816,2094743300,15521609000.0
2020-03-02,1274.847,1320.465,1274.847,1319.267,1569952200,11865298900.0
2020-03-03,1332.214,1344.107,1321.807,1328.507,1573371200,11827688100.0
2020-03-04,1349.4,1357.253,1340.447,1353.644,1648736600,13078816200.0
2020-03-05,1353.716,1371.224,1351.963,1371.224,1579183800,11455368600.0
2020-03-06,1373.139,1384.832,1365.956,1376.431,1809621600,14271662000.0
2020-03-09,1374.731,1374.731,1315.156,1315.156,2005944000,15263208000.0
2020-03-10,1284.526,1324.246,1272.396,1324.246,1721750300,12186599900.0
2020-03-11,1322.064,1332.811,1315.764,1320.235,1260635160,9086438900.0
2020-03-12,1297.909,1297.909,1272.491,1279.129,1208254000,8467078300.0
2020-03-13,1202.711,1254.438,1199.973,1249.35,1486521800,10086174800.0
2020-03-16,1254.116,1261.941,1211.196,1214.47,1239291550,8396435800.0
2020-03-17,1213.637,1224.743,1162.193,1194.64,1260315550,7831454600.0
2020-03-18,1205.838,1215.676,1172.32,1172.325,1105448160,6999643700.0
2020-03-19,1163.996,1175.628,1141.802,1170.027,1188362280,7089045900.0
2020-03-20,1176.266,1207.634,1168.121,1206.645,1096628440,7024675700.0
2020-03-23,1177.41,1199.72,1168.437,1171.493,1267556460,8038651600.0
2020-03-24,1222.032,1239.118,1215.497,1239.118,2119390500,14780104000.0
2020-03-25,1280.351,1283.461,1264.702,1271.911,1948941300,14194945000.0
2020-03-26,1260.701,1272.273,1255.997,1260.143,1498812000,10622284200.0
2020-03-27,1265.733,1272.417,1259.349,1261.174,1357780200,10681954700.0
2020-03-30,1236.022,1236.022,1213.608,1215.489,1143990520,8484212500.0
2020-03-31,1218.676,1222.94,1208.306,1209.297,931683110,6548019900.0
2020-04-01,1196.782,1228.082,1193.022,1228.082,1296395040,9234307400.0
2020-04-02,1209.515,1229.415,1206.752,1229.415,1093900270,7491004500.0
2020-04-03,1230.521,1248.068,1226.223,1230.936,1266861650,9014048200.0
2020-04-07,1259.471,1279.55,1253.753,1276.449,1939227400,14599483000.0
2020-04-08,1263.955,1286.839,1261.864,1280.701,1420440100,10000235000.0
2020-04-09,1284.718,1285.371,1275.275,1279.005,1183816710,8496632500.0
2020-04-10,1297.319,1300.708,1258.152,1259.111,1451777100,11392367700.0
2020-04-13,1248.4,1249.501,1241.953,1247.604,923416330,6888838000.0
2020-04-14,1257.212,1279.344,1253.899,1274.423,1806149700,13739113000.0
2020-04-15,1265.413,1272.02,1254.014,1254.256,1419898900,10402531400.0
2020-04-16,1246.444,1257.564,1241.827,1256.793,1269478940,9344618400.0
2020-04-17,1252.858,1253.623,1236.449,1240.075,1413002700,10782491900.0
2020-04-20,1233.597,1239.808,1230.323,1239.808,957368850,6934367300.0
2020-04-21,1234.798,1235.154,1216.23,1227.463,988987060,6769535100.0
2020-04-22,1220.608,1237.733,1220.286,1237.045,880874480,6030817400.0
2020-04-23,1245.468,1248.591,1235.014,1240.734,1263704710,9438057500.0
2020-04-24,1239.779,1242.46,1223.544,1229.545,1259560500,9159932100.0
2020-04-27,1219.931,1220.924,1206.595,1207.456,1522305800,8873230000.0
2020-04-28,1199.617,1200.674,1149.0,1166.117,1432611600,9282148900.0
2020-04-29,1161.176,1177.199,1158.648,1168.516,769712680,5027041200.0
2020-04-30,1167.464,1188.316,1167.464,1186.728,1002634840,7014203100.0
2020-05-06,1178.366,1205.889,1177.279,1205.889,1115962330,7489617400.0
2020-05-07,1198.633,1202.902,1196.008,1198.75,999965390,6816755200.0
2020-05-08,1210.231,1213.579,1204.326,1211.766,1201642120,8700040400.0
2020-05-11,1207.112,1211.861,1196.695,1202.195,1045835560,7437090400.0
2020-05-12,1200.886,1200.921,1191.152,1198.42,855100740,5854818900.0
2020-05-13,1196.127,1200.058,1193.667,1199.725,814428880,5159100400.0
2020-05-14,1200.687,1202.007,1194.85,1199.031,961371790,6566210200.0
2020-05-15,1203.197,1210.466,1199.542,1205.805,1181729760,9108151000.0
2020-05-18,1222.621,1250.134,1218.08,1243.255,1937116100,15958977000.0
2020-05-19,1232.33,1233.212,1225.463,1230.477,1452247300,11768689000.0
2020-05-20,1233.251,1241.383,1230.091,1232.76,1416460300,10569911900.0
2020-05-21,1227.911,1230.472,1205.708,1207.399,1196363940,9152890700.0
2020-05-22,1197.853,1198.606,1173.457,1188.996,1112764850,8182410300.0
2020-05-25,1177.573,1184.093,1174.718,1178.096,844378810,5522886800.0
2020-05-26,1182.048,1199.269,1182.048,1199.269,884308360,5756474100.0
2020-05-27,1192.663,1195.636,1187.725,1189.772,970955190,6366244500.0
2020-05-28,1194.368,1199.796,1186.622,1198.956,1024396330,7332894900.0
2020-05-29,1194.058,1206.361,1191.532,1203.401,836764960,5793886900.0
2020-06-01,1211.308,1232.702,1210.769,1231.311,1182540300,8228592900.0
2020-06-02,1232.096,1238.283,1228.739,1235.883,1013901840,7103861700.0
2020-06-03,1234.563,1242.136,1234.563,1236.764,996825790,6773194600.0
2020-06-04,1234.822,1242.295,1233.52,1242.295,1458774800,8656734100.0
2020-06-05,1244.723,1245.379,1237.026,1242.814,1008210720,6153701100.0
2020-06-08,1238.202,1247.432,1236.563,1246.736,1272518330,8368512800.0
2020-06-09,1241.207,1248.846,1236.952,1247.277,1074686420,6457591500.0
2020-06-10,1249.22,1251.673,1239.138,1241.177,976890220,6059726700.0
2020-06-11,1244.817,1247.599,1233.551,1238.244,1095709160,7711109700.0
2020-06-12,1213.317,1229.265,1208.589,1224.579,901165260,6325453600.0
2020-06-15,1224.87,1230.656,1212.554,1212.714,876036420,6183677300.0
2020-06-16,1220.993,1235.733,1220.451,1235.605,1169183360,6715294100.0
2020-06-17,1239.238,1244.718,1234.241,1244.718,1199034390,7148330000.0
2020-06-18,1247.398,1251.902,1242.709,1246.874,1194706290,7401197600.0
2020-06-19,1242.97,1252.373,1241.786,1250.927,1237265380,7923624600.0
2020-06-22,1256.344,1263.321,1253.073,1254.049,1453083800,10452155800.0
2020-06-23,1255.588,1255.588,1241.389,1242.187,1012270320,7936786900.0
2020-06-24,1250.923,1257.198,1246.93,1247.84,1076803090,8624984300.0
2020-06-29,1248.035,1250.58,1239.542,1241.637,1065855310,7972069900.0
2020-06-30,1242.166,1255.506,1240.399,1255.506,1120596290,8006010300.0
2020-07-01,1261.252,1266.974,1257.063,1266.974,1503586000,10689852300.0
2020-07-02,1258.963,1277.554,1256.716,1277.431,1726127000,12443973600.0
2020-07-03,1276.981,1293.005,1276.981,1291.482,1969633000,13331863100.0
2020-07-06,1296.528,1344.89,1296.528,1343.328,2752454400,20077764000.0
2020-07-07,1357.411,1381.444,1344.231,1364.787,2759268400,21536470000.0
2020-07-08,1369.315,1398.372,1356.215,1397.337,2772289200,21737768000.0
