序号,板块,涨跌幅,总成交量,总成交额,净流入,上涨家数,下跌家数,均价,领涨股,领涨股-最新价,领涨股-涨跌幅
1,互联网电商,5.69,1059.1,140.18,8.36,17,2,13.24,壹网壹创,49.3,20.01
2,IT服务,4.09,10004.5,1902.82,62.63,118,9,19.02,美登科技,115.76,29.99
3,文化传媒,3.98,9470.94,1498.68,-16.75,76,7,15.82,流金科技,13.57,29.98
4,软件开发,3.68,7528.43,2124.86,121.14,121,17,28.22,科大国创,52.72,20.01
5,通信服务,3.23,2873.76,544.5,12.66,36,9,18.95,会畅科技,32.52,17.02
6,通信设备,3.16,4326.64,1877.51,11.37,78,10,43.39,浩瀚深度,37.24,20.01
7,油气开采及服务,2.95,2260.4,149.24,8.09,15,4,6.6,科力股份,42.81,14.56
8,黑色家电,2.78,893.5,97.95,-5.81,8,1,10.96,兆驰股份,9.64,10.05
9,计算机设备,2.11,2889.0,688.8,27.69,66,15,23.84,佳缘科技,84.48,20.0
10,医疗服务,2.04,2842.65,645.83,-31.61,32,22,22.72,诺思格,91.2,19.25
11,贵金属,2.03,860.22,173.75,-1.75,9,1,20.2,湖南白银,9.92,9.98
12,旅游及酒店,1.95,1171.64,119.99,3.42,29,6,10.24,众信旅游,8.26,9.99
13,其他电源设备,1.87,1680.73,349.82,7.34,24,7,20.81,爱科赛博,57.24,12.81
14,半导体,1.68,3340.4,2476.52,60.19,133,35,74.14,灿芯股份,138.12,14.82
15,电子化学品,1.55,1297.26,318.03,5.87,33,8,24.52,天承科技,93.37,14.28
16,其他电子,1.54,846.31,266.12,-1.25,24,9,31.45,汉朔科技,71.65,20.0
17,化学纤维,1.52,1140.47,99.89,-0.96,20,8,8.76,尤夫股份,7.33,10.06
18,医药商业,1.31,2352.51,250.59,0.94,18,14,10.65,华人健康,29.76,20.0
19,元件,1.31,1517.74,599.97,31.36,42,17,39.53,本川智能,67.2,16.87
20,影视院线,1.27,2117.59,204.06,-0.42,15,5,9.64,博纳影业,9.62,5.6
21,其他社会服务,1.23,706.26,123.92,-0.84,24,12,17.55,实朴检测,42.5,12.52
22,包装印刷,1.19,1457.85,175.0,-2.36,25,22,12.0,喜悦智行,15.45,12.77
23,教育,1.11,2162.58,146.0,5.18,14,3,6.75,华图山鼎,91.0,3.82
24,光学光电子,1.06,7034.26,700.38,26.61,70,33,9.96,翰博高新,23.03,20.01
25,石油加工贸易,1.04,1484.49,126.41,5.0,18,8,8.52,和顺石油,30.54,10.01
26,专用设备,1.01,5465.27,843.41,0.2,113,80,15.43,耐科装备,39.15,15.9
27,游戏,0.96,3607.81,585.46,1.67,16,8,16.23,浙数文化,17.39,7.54
28,综合,0.93,1712.21,356.11,-0.85,8,9,20.8,交运股份,9.03,9.85
29,小金属,0.88,1527.43,555.11,1.24,13,14,36.34,翔鹭钨业,17.4,9.09
30,环保设备,0.81,442.43,59.4,-2.38,14,14,13.43,*ST清研,20.45,10.12
31,家居用品,0.77,1476.95,175.58,0.01,55,42,11.89,明月镜片,46.98,8.45
32,消费电子,0.75,3611.13,1080.64,-25.53,67,29,29.93,科森科技,20.88,6.31
33,化学原料,0.63,2513.29,242.22,-0.6,33,25,9.64,君正集团,5.67,10.1
34,白色家电,0.63,1162.98,407.56,-34.13,24,18,35.04,禾盛新材,59.17,10.0
35,医疗器械,0.62,2041.02,513.44,-3.43,72,61,25.16,三友医疗,22.3,16.63
36,多元金融,0.62,2431.53,280.06,-7.77,11,14,11.52,拉卡拉,32.08,20.02
37,橡胶制品,0.57,274.47,49.39,-1.47,13,8,17.99,三维装备,16.88,4.2
38,建筑材料,0.55,2704.7,225.37,-21.53,28,39,8.33,九鼎新材,12.52,10.02
39,农产品加工,0.55,919.59,89.04,-4.81,21,21,9.68,驱动力,10.39,10.65
40,通用设备,0.51,5630.77,1132.45,-36.77,117,124,20.11,七丰精工,46.15,30.0
41,自动化设备,0.51,1488.01,571.34,-1.34,51,40,38.4,大族数控,135.56,12.32
42,环境治理,0.44,2760.16,249.74,-12.14,43,63,9.05,通源环境,40.3,11.94
43,工业金属,0.42,6423.4,976.87,-8.65,33,25,15.21,白银有色,7.05,7.63
44,电池,0.4,3035.89,1020.03,-18.84,54,44,33.6,亿华通,32.22,12.5
45,光伏设备,0.38,3625.86,818.93,-8.25,36,39,22.59,帝科股份,80.65,11.81
46,造纸,0.38,781.77,49.95,-4.53,5,16,6.39,民士达,57.42,13.16
47,建筑装饰,0.36,7082.21,528.81,-20.13,67,79,7.47,山水比德,41.71,10.64
48,物流,0.34,1243.74,116.23,-9.48,21,26,9.35,永泰运,29.36,10.0
49,贸易,0.34,412.39,30.06,-1.09,7,5,7.29,东方创业,8.38,4.49
50,小家电,0.29,333.01,63.56,-3.59,16,9,19.09,比依股份,22.73,9.17
51,电网设备,0.28,6551.82,957.33,-49.98,45,90,14.61,红相股份,15.76,20.03
52,化学制品,0.24,2814.91,516.39,-26.58,77,92,18.34,七彩化学,16.85,20.01
53,电力,0.22,7308.53,502.45,-61.56,38,61,6.88,东方新能,2.48,10.22
54,燃气,0.17,711.84,79.37,-7.82,11,16,11.15,德龙汇能,17.41,9.98
55,养殖业,0.15,1252.6,112.06,-9.24,11,27,8.95,*ST天山,9.67,15.67
56,美容护理,0.14,326.68,73.05,-2.31,16,15,22.36,拉芳家化,23.85,5.62
57,服装家纺,0.13,1664.73,152.25,-5.42,37,34,9.15,明牌珠宝,7.69,10.01
58,纺织制造,0.1,630.05,74.79,-0.5,11,20,11.87,云中马,61.28,8.0
59,厨卫电器,0.09,150.81,17.91,-0.84,4,4,11.88,亿田智能,38.25,2.52
60,钢铁,0.07,4755.17,228.16,-10.04,13,27,4.8,常宝股份,8.92,9.99
61,塑料制品,0.03,2015.61,342.41,-5.54,33,43,16.99,博菲电气,45.63,10.01
