ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20260113,11.48,11.54,11.44,11.47,11.48,-0.01,-0.0871,1061541.22,1219755.569
000002.SZ,20260113,4.87,4.97,4.82,4.83,4.88,-0.05,-1.0246,1950981.47,950864.611
000004.SZ,20260113,10.62,11.14,10.52,11.14,10.61,0.53,4.9953,54818.0,60363.402
000006.SZ,20260113,9.86,10.05,9.54,9.56,9.87,-0.31,-3.1408,485984.04,475617.996
000007.SZ,20260113,11.87,12.05,11.63,11.68,11.87,-0.19,-1.6007,113510.53,133997.148
000008.SZ,20260113,3.18,3.2,3.08,3.1,3.21,-0.11,-3.4268,1141355.6,356516.707
000009.SZ,20260113,10.26,10.34,10.02,10.06,10.26,-0.2,-1.9493,450591.58,457159.228
000010.SZ,20260113,3.84,3.85,3.67,3.67,3.83,-0.16,-4.1775,286784.01,107264.668
000011.SZ,20260113,9.03,9.09,8.9,8.9,9.03,-0.13,-1.4396,91559.19,82447.723
000012.SZ,20260113,4.55,4.55,4.5,4.52,4.55,-0.03,-0.6593,227568.84,102985.331
000014.SZ,20260113,13.66,14.28,13.61,13.7,13.72,-0.02,-0.1458,163053.2,225887.051
000016.SZ,20260113,5.15,5.15,5.05,5.07,5.13,-0.06,-1.1696,341587.94,173644.574
000017.SZ,20260113,8.1,8.26,7.98,8.05,8.1,-0.05,-0.6173,245352.0,199178.736
000019.SZ,20260113,7.03,7.04,6.91,6.93,7.03,-0.1,-1.4225,111019.59,77528.306
000020.SZ,20260113,14.9,14.95,14.36,14.41,14.89,-0.48,-3.2236,62573.01,91319.563
000021.SZ,20260113,27.5,27.96,26.59,26.7,27.5,-0.8,-2.9091,1051288.63,2850989.827
000025.SZ,20260113,18.26,18.28,17.92,17.94,18.23,-0.29,-1.5908,112864.97,204501.395
000026.SZ,20260113,17.65,17.65,16.68,16.76,17.41,-0.65,-3.7335,142792.9,242688.268
000027.SZ,20260113,6.71,6.78,6.68,6.74,6.71,0.03,0.4471,304883.6,204868.339
000028.SZ,20260113,25.11,25.33,25.04,25.15,25.11,0.04,0.1593,43523.5,109674.141
000029.SZ,20260113,22.31,22.72,21.56,21.62,22.18,-0.56,-2.5248,79898.92,176598.471
000030.SZ,20260113,5.61,5.8,5.52,5.61,5.61,0.0,0.0,325626.76,183129.929
000031.SZ,20260113,2.89,2.91,2.86,2.9,2.89,0.01,0.346,305490.92,88165.835
000032.SZ,20260113,23.01,23.01,22.0,22.09,22.82,-0.73,-3.1989,429363.93,960092.473
000034.SZ,20260113,42.58,42.61,40.76,40.83,42.4,-1.57,-3.7028,330210.15,1371014.07
000035.SZ,20260113,5.81,5.88,5.71,5.78,5.81,-0.03,-0.5164,322395.65,186838.077
000036.SZ,20260113,6.85,7.44,6.65,6.96,6.85,0.11,1.6058,1670306.06,1161083.484
000037.SZ,20260113,8.73,8.87,8.64,8.78,8.72,0.06,0.6881,130717.51,114325.611
000039.SZ,20260113,9.65,9.74,9.44,9.53,9.63,-0.1,-1.0384,578245.06,554261.748
000042.SZ,20260113,8.48,8.65,8.45,8.56,8.49,0.07,0.8245,60103.0,51344.342
000045.SZ,20260113,12.55,12.59,12.19,12.22,12.53,-0.31,-2.4741,97852.14,120836.074
000048.SZ,20260113,15.88,15.88,14.96,15.06,15.79,-0.73,-4.6232,179117.21,273089.174
000049.SZ,20260113,27.15,27.3,26.6,26.66,27.14,-0.48,-1.7686,105303.46,282961.502
000050.SZ,20260113,10.31,10.33,9.92,9.96,10.33,-0.37,-3.5818,711933.28,716719.84
000055.SZ,20260113,4.2,4.28,4.16,4.2,4.2,0.0,0.0,158671.38,66948.551
000056.SZ,20260113,2.12,2.2,2.08,2.12,2.11,0.01,0.4739,553961.13,118211.335
000058.SZ,20260113,9.89,9.89,9.54,9.58,9.9,-0.32,-3.2323,173351.51,168017.538
000059.SZ,20260113,5.5,5.62,5.46,5.52,5.52,0.0,0.0,236084.03,130772.915
000060.SZ,20260113,6.51,6.69,6.46,6.52,6.5,0.02,0.3077,2097385.4,1373899.182
000061.SZ,20260113,9.89,10.04,9.75,9.8,9.9,-0.1,-1.0101,227065.36,224451.905
000062.SZ,20260113,25.96,25.98,25.02,25.14,25.95,-0.81,-3.1214,178202.25,453284.91
000063.SZ,20260113,42.44,42.44,40.02,40.28,42.44,-2.16,-5.0895,2183619.83,8952069.574
000065.SZ,20260113,12.33,12.34,11.94,11.97,12.33,-0.36,-2.9197,317144.3,382794.547
000066.SZ,20260113,16.99,17.15,16.09,16.14,16.62,-0.48,-2.8881,2677621.15,4436518.332
000068.SZ,20260113,3.47,3.5,3.42,3.46,3.46,0.0,0.0,191528.98,66436.548
000069.SZ,20260113,2.59,2.62,2.57,2.61,2.59,0.02,0.7722,1129783.52,293472.897
000070.SZ,20260113,13.29,13.29,11.91,11.97,13.17,-1.2,-9.1116,1210636.0,1491102.781
000078.SZ,20260113,3.73,4.08,3.63,4.08,3.71,0.37,9.973,2790030.68,1087836.27
000088.SZ,20260113,4.53,4.54,4.5,4.52,4.53,-0.01,-0.2208,268879.45,121498.49
000089.SZ,20260113,7.02,7.05,6.98,7.0,7.02,-0.02,-0.2849,129064.0,90563.39
