序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,backup_time
1,002358,森源电气,10.077519416809082,7.1,91024762,6601265484.2,6601274529.599999,1.3788986206054688,167679358,092500,092500,0,2/2,2,电网设备,09:40:19
2,002498,汉缆股份,10.091742515563965,4.8,115139986,15968620800.0,15968620800.0,0.7210389971733093,299121614,092500,092500,0,2/2,2,电网设备,09:40:19
3,002931,锋龙股份,10.001618385314941,67.97,121890329,13679202298.16,14851843032.32,0.8910631537437439,2161704557,092500,092500,0,30/15,1,通用设备,09:40:19
4,603286,日盈电子,9.998578071594238,77.34,185310410,8926183029.54,9079401303.54,2.0837080478668213,179915500,093026,093032,1,1/1,1,汽车零部,09:40:19
5,000987,越秀资本,10.0,10.34,659491648,51849156299.159996,51877150504.96,1.290258765220642,712978114,093051,093051,0,1/1,1,多元金融,09:40:19
6,601616,广电电气,10.043667793273926,5.04,575824080,4302523607.76,4302523572.4800005,13.594503402709961,10994760,093121,093451,3,2/2,2,电网设备,09:40:19
7,002636,金安国纪,9.989200592041016,20.37,527632928,14754305044.29,14829360000.0,3.6326520442962646,666236701,093142,093857,1,3/2,1,电子元件,09:40:19
8,002969,嘉美包装,9.974424362182617,17.2,659349024,17182814482.399998,17288280582.399998,3.883700132369995,66836138,093145,093842,2,22/15,1,包装材料,09:40:19
9,601965,中国汽研,10.017472267150879,18.89,349134624,18859884183.03,18947706683.2,1.8626673221588135,116921978,093214,093214,0,1/1,1,汽车服务,09:40:19
10,600189,泉阳泉,10.040705680847168,8.11,185907645,5800254255.32,5800254222.879999,3.2525711059570312,217985527,093453,093453,0,1/1,1,食品饮料,09:40:19
11,605222,起帆电缆,10.014947891235352,22.08,157440660,9116862227.519999,9116862382.08,1.7657243013381958,128933952,093457,093627,1,4/2,1,电网设备,09:40:19
12,600481,双良节能,10.0,7.81,465944560,14634179688.48,14634179688.48,3.2474241256713867,502462473,093536,093536,0,1/1,1,光伏设备,09:40:19
13,605099,共创草坪,9.997596740722656,45.77,73145911,18374153852.58,18423878655.2,0.4086361825466156,15342104,093558,093558,0,1/1,1,家用轻工,09:40:19
14,601096,宏盛华源,9.937888145446777,5.31,546231712,8724205432.71,14205073517.279999,6.514652729034424,283276186,093627,093627,0,2/2,2,电网设备,09:40:19
15,002201,九鼎新材,9.982638359069824,12.67,686391216,7627636731.4,8256231160.8,9.259232521057129,687042368,093651,093724,1,4/2,1,玻璃玻纤,09:40:19
16,002606,大连电瓷,10.050762176513672,10.84,300642192,4565179876.2,4759553661.44,6.862267017364502,525058164,093824,093824,0,1/1,1,电网设备,09:40:19
17,002718,友邦吊顶,9.994597434997559,61.08,108143388,3329219761.2,7906673395.32,3.399338960647583,3851399,093854,093954,1,13/9,1,装修建材,09:40:19
18,688308,欧科亿,20.0,39.78,246115426,6316336344.24,6316336344.24,4.04619836807251,419331760,093911,093911,0,1/1,1,通用设备,09:40:19
19,601179,中国西电,10.038313865661621,14.36,2893349904,73607670574.72,73607670804.48,4.058782577514648,2021050251,094009,094009,0,1/1,1,电网设备,09:40:19
