序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,32196241,6985834267.5,7180164608.0,0.46087896823883057,1141796559,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,138539794,7261392032.62,7261401982.559999,1.907895803451538,202220659,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,80008854,17565482880.0,17565482880.0,0.45548906922340393,676290426,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,31268141,15047726288.56,16337682853.119999,0.20779313147068024,2416911014,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1459259712,14829119398.140001,14829119418.080002,9.843769073486328,707839731,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,78254917,9085613562.88,9085613562.88,0.861305832862854,930511247,092502,092502,0,2/2,1,电子化学
7,002995,天地在线,10.019742965698242,22.29,293688832,2505779566.3199997,3955460359.2,11.792716026306152,100550814,093009,093009,0,2/2,2,文化传媒
8,600391,航发科技,9.995241165161133,46.22,661434000,15258579342.74,15258579019.199999,4.337273120880127,245219146,093019,093019,0,2/2,2,航天航空
9,601616,广电电气,9.920635223388672,5.54,369370368,4729361267.26,4729361228.4800005,7.909630298614502,227920641,093040,093040,0,3/3,3,电网设备
10,002969,嘉美包装,10.0,18.92,435583136,19234380925.760002,19350393673.600002,2.267129898071289,163109320,093048,093048,0,23/16,2,包装材料
11,002527,新时达,9.98810863494873,18.5,527524944,9791686068.0,12266633976.0,5.4315643310546875,373320750,093057,093057,0,1/1,1,专用设备
12,002201,九鼎新材,10.023677825927734,13.94,1928459344,8392206474.799999,9083809185.6,23.556856155395508,429430064,093115,103054,2,5/3,2,玻璃玻纤
13,601677,明泰铝业,9.986772537231445,16.63,752471584,20255450207.01,20679798000.16,3.753140926361084,359099056,093308,093308,0,1/1,1,有色金属
14,600187,国中水务,9.960159301757812,2.76,196959098,4454035844.28,4454035847.04,4.467369556427002,79989216,093414,093605,1,1/1,1,公用事业
15,603926,铁流股份,10.004953384399414,22.21,286680512,5126925550.31,5213055930.31,5.740818500518799,64411154,093426,093950,2,2/2,2,汽车零部
16,688380,中微半导,19.99419593811035,41.35,713990496,6990837750.0,16555093080.800001,10.517066955566406,646787478,093451,093551,1,1/1,1,半导体
17,603421,鼎信通讯,10.0,7.92,260061528,5165348847.12,5165348855.04,5.104815483093262,90083022,093603,093821,1,1/1,1,通信服务
18,003039,顺控发展,9.982383728027344,18.73,212760231,11566125812.9,11566125925.28,1.8772523403167725,349627291,093651,093651,0,1/1,1,公用事业
19,003035,南网能源,9.9609375,5.63,408682672,21325757570.81,21325757553.92,1.9599803686141968,418067078,093733,093733,0,1/1,1,专业服务
20,002208,合肥城建,10.034602165222168,15.9,1044196016,12769041689.7,12772341019.2,8.389089584350586,526221948,094115,102657,2,3/2,1,房地产开
21,600955,维远股份,9.9893159866333,20.59,400404768,11324500000.0,11324500000.0,3.6271955966949463,135578005,094134,094325,2,1/1,1,化学原料
22,600649,城投控股,10.107526779174805,5.12,425113968,12823043932.16,12823043932.16,3.3760011196136475,170485944,094216,095158,1,1/1,1,房地产开
23,603320,迪贝电气,9.990530014038086,23.23,173856228,3464666295.69,3464666295.69,5.102579116821289,144692886,094628,094628,0,4/2,1,电机
24,002291,遥望科技,10.014727592468262,7.47,499458880,6492365766.9,6988523839.2,7.941543102264404,459207045,094906,094906,0,1/1,1,互联网服
25,603916,苏博特,10.046082496643066,11.94,213715049,5018684953.62,5089966789.44,4.399829864501953,234258955,095210,095210,0,1/1,1,化学制品
26,603616,韩建河山,10.070671081542969,6.23,187827106,2394145390.0,2437911140.0,8.070560455322266,116827452,095254,095254,0,1/1,1,水泥建材
27,605089,味知香,10.003650665283203,30.13,143971621,4157940000.0,4157940000.0,3.5313658714294434,142252979,095353,095353,0,1/1,1,食品饮料
28,000048,京基智农,10.006540298461914,16.82,273495136,8853367631.0,8919347545.92,3.176178216934204,399053204,095606,095606,0,1/1,1,农牧饲渔
29,600774,汉商集团,10.018903732299805,11.64,440196528,3431962404.84,3434177136.0,13.465421676635742,125551018,095722,095919,1,2/2,2,化学制药
30,002810,山东赫达,10.0,17.49,311177904,5644195556.339999,6095308934.879999,5.6912665367126465,362908964,100527,100527,0,1/1,1,化学制品
31,002165,红 宝 丽,9.96216869354248,8.72,626273744,6344929205.120001,6411553004.8,10.214811325073242,1092810456,100833,100833,0,1/1,1,化学制品
32,605366,宏柏新材,10.077519416809082,7.1,292054368,4616126975.9,4616127025.599999,6.5092878341674805,134150417,100905,100905,0,1/1,1,化学制品
33,002809,红墙股份,10.0,12.1,141225327,1683333608.0,2560510197.2999997,8.644890785217285,191270508,101157,101157,0,1/1,1,化学制品
34,600610,中毅达,9.961315155029297,11.37,795742160,8058222635.849999,12180392292.96,10.189051628112793,340040316,101352,101519,1,1/1,1,化学原料
35,600230,沧州大化,10.0,18.15,485419600,7513392422.249999,7513392295.2,6.674097537994385,244152348,101418,101418,0,2/2,2,化学制品
36,300927,江天化学,19.992082595825195,30.31,469108928,4270343468.2999997,4375551600.0,11.633038520812988,377483225,101430,101430,0,1/1,1,化学原料
37,600403,大有能源,10.044978141784668,7.34,488947504,17548563030.68,17548563016.0,2.9137206077575684,283175732,101859,101859,0,1/1,1,煤炭行业
