序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920367,新赣江,30.55,30.0,7.05,89648.0,270953947.44,15.11,30.55,27.0,27.0,23.5,2.67,21.46,195.47,4.55,2164811188.0,1276436037.0,0.0,0.0,45.13,51.46
2,920575,康乐卫士,11.99,29.9,2.76,351198.0,401570092.68,29.79,11.99,9.24,9.24,9.23,5.89,18.7,-11.03,10.41,3368470600.0,2252185773.0,0.0,0.0,-6.03,44.98
3,300078,思创医惠,5.68,20.08,0.95,2291331.0,1209429817.41,20.3,5.68,4.72,4.88,4.73,2.18,20.58,-999.99,10.99,6349514266.0,6323925401.0,0.0,0.0,69.05,28.22
4,920046,亿能电力,17.42,20.06,2.91,203489.0,340003319.47,31.29,18.8,14.26,14.53,14.51,5.71,31.76,108.01,7.07,1762033000.0,1116226340.0,0.11,0.4,24.16,29.52
5,301333,诺思格,76.48,20.01,12.75,55194.0,396653746.51,19.38,76.48,64.13,64.13,63.73,2.34,9.65,57.97,3.85,7386534459.0,4372379496.0,0.0,0.0,52.65,28.43
6,301257,普蕊斯,72.24,20.0,12.04,22850.0,155713162.4,17.61,72.24,61.64,61.73,60.2,1.21,3.03,48.99,4.56,5707304585.0,5441037986.0,0.0,0.0,67.57,38.82
7,688331,荣昌生物,114.46,20.0,19.08,212245.0,2368786671.0,10.97,114.46,104.0,110.0,95.38,2.44,13.08,-87.87,27.77,64522274414.0,18579819309.0,0.0,0.0,17.54,47.14
8,301230,泓博医药,56.64,20.0,9.44,57226.0,324125458.56,0.0,56.64,56.64,56.64,47.2,0.35,4.56,170.64,7.81,7906185307.0,7114880611.0,0.0,0.0,76.67,90.26
9,300842,帝科股份,72.13,20.0,12.02,245248.0,1646885203.03,20.01,72.13,60.1,60.11,60.11,3.35,18.92,266.81,5.61,10479027863.0,9351109197.0,0.0,0.0,16.53,21.7
10,301378,通达海,45.49,19.99,7.58,135895.0,611566621.95,10.0,45.49,41.7,45.49,37.91,3.38,29.6,-65.32,3.37,4394334000.0,2088652015.0,0.0,0.02,60.8,60.18
11,300246,宝莱特,13.09,19.98,2.18,472185.0,606017863.21,13.84,13.09,11.58,12.08,10.91,2.12,22.35,-311.39,3.03,3463368340.0,2765727025.0,0.0,0.0,58.67,61.6
12,300063,天龙集团,15.62,19.97,2.6,3308710.0,5128700189.66,6.3,15.62,14.8,15.61,13.02,2.42,52.81,80.11,6.81,11848194083.0,9786780400.0,0.0,0.0,95.74,82.26
13,301060,兰卫医学,13.28,19.96,2.21,352111.0,441128806.17,17.16,13.28,11.38,11.39,11.07,2.38,9.78,-5974.08,3.37,5318865760.0,4783250917.0,0.0,0.0,45.45,43.57
14,300404,博济医药,12.92,19.96,2.15,627123.0,776447303.11,17.73,12.92,11.01,11.01,10.77,2.84,22.33,170.57,4.88,4983663874.0,3627687703.0,0.0,0.0,32.92,38.48
15,300267,尔康制药,4.45,19.95,0.74,3835043.0,1643519279.42,17.25,4.45,3.81,3.81,3.71,9.75,26.96,173.94,2.05,9178591672.0,6329643915.0,0.0,0.0,30.12,30.5
16,300444,双杰电气,12.65,17.02,1.84,2132402.0,2539655240.48,24.7,12.97,10.3,10.8,10.81,2.99,34.31,60.58,5.67,10102607389.0,7861300742.0,-0.08,1.69,49.17,31.36
17,688277,天智航-U,22.03,16.62,3.14,522629.0,1094414632.0,21.12,22.67,18.68,19.28,18.89,3.22,11.46,-66.06,7.86,10045504509.0,10045504509.0,-0.09,-0.27,25.67,45.03
18,688365,光云科技,28.5,16.42,4.02,781569.0,2216738192.0,16.63,29.38,25.31,26.93,24.48,2.48,18.35,-605.51,12.81,12136003494.0,12136003494.0,0.0,-0.28,105.48,68.94
19,301111,粤万年青,24.97,16.3,3.5,347129.0,803685393.98,19.05,24.99,20.9,21.46,21.47,2.83,21.7,-368.58,5.34,3995200000.0,3995200000.0,0.04,-0.04,53.28,31.21
20,688137,近岸蛋白,49.6,15.43,6.63,58105.0,290581268.0,21.06,51.56,42.51,42.93,42.97,9.01,17.78,-90.46,1.67,3480701774.0,1620701774.0,-0.06,0.22,22.77,23.85
21,300816,艾可蓝,69.0,15.02,9.01,91983.0,660044706.69,5.32,71.99,68.8,71.99,59.99,2.83,16.23,55.88,6.08,5520000000.0,3910131399.0,-2.64,-4.15,95.19,43.3
