ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20260116,11.34,11.34,11.16,11.19,11.31,-0.12,-1.061,1119472.54,1257713.579
000002.SZ,20260116,4.85,4.86,4.72,4.73,4.85,-0.12,-2.4742,2093046.01,998121.239
000004.SZ,20260116,11.0,11.45,10.96,11.14,10.9,0.24,2.2018,61578.21,69453.813
000006.SZ,20260116,9.35,9.58,9.16,9.21,9.31,-0.1,-1.0741,304919.66,283574.88
000007.SZ,20260116,11.28,11.56,11.12,11.3,11.27,0.03,0.2662,79829.21,90202.014
000008.SZ,20260116,3.05,3.07,3.0,3.01,3.04,-0.03,-0.9868,665392.83,201262.197
000009.SZ,20260116,10.12,10.26,10.09,10.18,10.1,0.08,0.7921,399118.71,406350.398
000010.SZ,20260116,3.62,3.63,3.54,3.56,3.6,-0.04,-1.1111,169411.0,60416.322
000011.SZ,20260116,8.8,8.82,8.57,8.6,8.73,-0.13,-1.4891,71156.01,61495.761
000012.SZ,20260116,4.5,4.5,4.43,4.45,4.49,-0.04,-0.8909,190133.91,84825.037
000014.SZ,20260116,13.39,13.4,13.08,13.08,13.26,-0.18,-1.3575,78254.48,102929.6
000016.SZ,20260116,4.98,5.2,4.96,5.11,4.98,0.13,2.6104,531149.59,269943.338
000017.SZ,20260116,7.78,7.78,7.52,7.64,7.72,-0.08,-1.0363,123929.92,94410.214
000019.SZ,20260116,6.91,6.93,6.8,6.84,6.89,-0.05,-0.7257,84826.92,58147.023
000020.SZ,20260116,14.4,14.58,14.12,14.54,14.33,0.21,1.4655,54002.85,77464.028
000021.SZ,20260116,28.8,30.19,28.01,29.79,28.1,1.69,6.0142,2240573.77,6550968.469
000025.SZ,20260116,18.2,18.34,18.0,18.13,18.25,-0.12,-0.6575,77111.32,139998.404
000026.SZ,20260116,16.59,16.72,16.45,16.64,16.6,0.04,0.241,65040.18,107930.837
000027.SZ,20260116,7.02,7.16,6.97,7.01,6.97,0.04,0.5739,528514.46,372140.632
000028.SZ,20260116,25.02,25.08,24.81,24.83,25.02,-0.19,-0.7594,26881.65,66927.46
000029.SZ,20260116,21.5,21.55,20.98,21.23,21.3,-0.07,-0.3286,50531.62,107169.399
000030.SZ,20260116,5.49,5.53,5.43,5.48,5.46,0.02,0.3663,196789.41,107738.545
000031.SZ,20260116,3.02,3.08,2.91,2.92,2.97,-0.05,-1.6835,386150.93,115262.915
000032.SZ,20260116,21.73,22.12,20.97,21.68,21.83,-0.15,-0.6871,393599.49,845020.783
000034.SZ,20260116,41.5,41.89,40.22,41.12,41.72,-0.6,-1.4382,287376.66,1179263.476
000035.SZ,20260116,6.0,6.02,5.88,5.94,5.92,0.02,0.3378,293459.27,174422.926
000036.SZ,20260116,6.83,7.2,6.59,6.73,6.74,-0.01,-0.1484,680329.51,461977.471
000037.SZ,20260116,8.92,9.04,8.77,8.8,8.79,0.01,0.1138,142143.02,126488.343
000039.SZ,20260116,9.64,9.88,9.58,9.66,9.63,0.03,0.3115,562862.26,546999.015
000042.SZ,20260116,8.48,8.48,8.3,8.32,8.42,-0.1,-1.1876,42237.66,35257.684
000045.SZ,20260116,12.3,12.42,12.15,12.38,12.25,0.13,1.0612,78130.36,96102.134
000048.SZ,20260116,14.89,14.91,14.65,14.66,14.85,-0.19,-1.2795,81157.82,119613.225
000049.SZ,20260116,26.96,27.08,26.71,26.98,26.89,0.09,0.3347,77428.33,208514.606
000050.SZ,20260116,10.29,10.3,9.96,10.11,10.27,-0.16,-1.5579,520480.43,524297.485
